,year,state,county,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
48,2014,Alabama,Monroe,125,31053,13471885,1567495,977630,640179,0.408408,50314,589865,402.512,1.620262132
49,2014,Alabama,Montgomery,39,11621,2524113,410240,279315,147025,0.358387,16100,130925,412.8205128,1.385422941
50,2014,Alabama,Morgan,99,16055,4216758,443474,326102,75997,0.171367,-41375,117372,-417.9292929,-2.577078792
51,2014,Alabama,Perry,61,17959,3967695,842848,567131,394937,0.468574,119220,275717,1954.42623,6.638454257
52,2014,Alabama,Pickens,25,8833,3155783,379434,224121,181959,0.479553,26646,155313,1065.84,3.016642137
53,2014,Alabama,Pike,114,11989,4111583,943727,598997,520237,0.551257,175507,344730,1539.535088,14.63900242
54,2014,Alabama,Randolph,15,1200,322003,46393,32731,15951,0.343823,2289,13662,152.6,1.9075
55,2014,Alabama,Russell,38,8844,3298784,502014,349866,192047,0.382553,39899,152148,1049.973684,4.511420172
56,2014,Alabama,Shelby,40,6946,2556699,299161,192335,151088,0.505039,44262,106826,1106.55,6.372300605
57,2014,Alabama,St Clair,7,1024,285165,33303,20128,11618,0.348857,-1557,13175,-222.4285714,-1.520507813
58,2014,Alabama,Sumter,14,3582,673800,95469,72663,143356,1.501597,120550,22806,8610.714286,33.65438303
59,2014,Alabama,Talladega,53,22098,8056272,894690,610774,293605,0.328163,9689,283916,182.8113208,0.438455969
60,2014,Alabama,Tallapoosa,8,822,327116,23732,17394,0,0,-6338,6338,-792.25,-7.710462287
61,2014,Alabama,Tuscaloosa,25,7609,1873913,255403,187445,44295,0.173431,-23663,67958,-946.52,-3.109869891
62,2014,Alabama,Walker,9,1704,352251,54886,37923,4416,0.080457,-12547,16963,-1394.111111,-7.363262911
63,2014,Alabama,Washington,19,3258,1383787,140644,92420,72310,0.514134,24086,48224,1267.684211,7.392879067
64,2014,Alabama,Wilcox,20,5291,1260669,224776,146884,134032,0.596291,56140,77892,2807,10.61047061
65,2014,Alabama,Winston,6,820,130935,22745,15251,868,0.038162,-6626,7494,-1104.333333,-8.080487805
66,2014,Alaska,Matanuska-Susitna,1,165,13932,1387,1387,0,0,0,0,0,0
67,2014,Alaska,Southeast Fairbanks,15,6377,562651,84868,71920,31944,0.376396,18996,12948,1266.4,2.978830171
68,2014,Arizona,Cochise,109,81208,29007973,1483624,1026155,761363,0.513177,303894,457469,2788.018349,3.742168259
69,2014,Arizona,Coconino,1,33920,201485,47261,24104,105083,2.223461,81926,23157,81926,2.415271226
70,2014,Arizona,Graham,106,52552,25925268,2174633,1270637,3315448,1.524601,2411452,903996,22749.54717,45.8869691
71,2014,Arizona,Greenlee,2,264,62325,1543,1543,0,0,0,0,0,0
72,2014,Arizona,La Paz,28,54695,14051262,737286,587886,36100,0.048963,-113300,149400,-4046.428571,-2.071487339
73,2014,Arizona,Maricopa,143,66076,37203373,2591952,1689942,575885,0.222181,-326125,902010,-2280.594406,-4.935604455
74,2014,Arizona,Mohave,5,6220,4025423,263829,205430,0,0,-58399,58399,-11679.8,-9.388906752
75,2014,Arizona,Pima,27,55289,15252043,785660,547369,297184,0.37826,58893,238291,2181.222222,1.065184756
76,2014,Arizona,Pinal,350,192787,110879430,7274001,4519780,12438346,1.709973,9684125,2754221,27668.92857,50.23225114
77,2014,Arizona,Santa Cruz,1,8,9088,583,373,0,0,-210,210,-210,-26.25
78,2014,Arizona,Yavapai,1,10875,64598,12593,6422,13680,1.086317,7509,6171,7509,0.690482759
79,2014,Arizona,Yuma,93,35674,16857994,762997,616903,559497,0.733288,413403,146094,4445.193548,11.58835567
80,2014,Arkansas,Arkansas,381,103732,34552751,1577283,1156995,398753,0.25281,-21535,420288,-56.52230971,-0.207602283
81,2014,Arkansas,Ashley,481,117410,44818660,3342828,2346110,2374894,0.710444,1378176,996718,2865.230769,11.73814837
82,2014,Arkansas,Baxter,1,482,26852,3320,1693,4920,1.481927,3293,1627,3293,6.831950207
83,2014,Arkansas,Benton,28,3906,658222,125441,82255,163858,1.306255,120672,43186,4309.714286,30.89400922
84,2014,Arkansas,Boone,8,1765,486531,146934,86484,343566,2.338233,283116,60450,35389.5,160.4056657
85,2014,Arkansas,Bradley,16,554,3474313,1146762,677242,2271233,1.980561,1801713,469520,112607.0625,3252.189531
86,2014,Arkansas,Carroll,4,1073,140094,21481,11610,31373,1.460499,21502,9871,5375.5,20.03914259
87,2014,Arkansas,Chicot,667,230540,74247562,4938505,3449660,2355672,0.477001,866827,1488845,1299.590705,3.759985252
88,2014,Arkansas,Clark,29,12123,2085032,550087,364124,479502,0.871683,293539,185963,10122.03448,24.21339602
89,2014,Arkansas,Clay,812,198201,83341227,4534468,3242993,3763897,0.830063,2472422,1291475,3044.85468,12.47431648
90,2014,Arkansas,Cleburne,10,2233,124078,18790,9582,29730,1.582224,20522,9208,2052.2,9.190326914
91,2014,Arkansas,Columbia,1,199,25363,3567,1963,6058,1.698345,4454,1604,4454,22.38190955
92,2014,Arkansas,Conway,98,26817,5070729,607724,389921,175830,0.289325,-41973,217803,-428.2959184,-1.565163889
93,2014,Arkansas,Craighead,931,224334,82334740,4846144,3420067,4483995,0.92527,3057918,1426077,3284.552095,13.63109471
94,2014,Arkansas,Crawford,79,16218,2522572,450764,306255,126485,0.280601,-18024,144509,-228.1518987,-1.111357751
95,2014,Arkansas,Crittenden,643,298729,83187960,7391366,5425684,6111882,0.826894,4146200,1965682,6448.211509,13.87946935
96,2014,Arkansas,Cross,756,257366,93329552,6271816,4505755,6932556,1.10535,5166495,1766061,6833.988095,20.07450479
97,2014,Arkansas,Dallas,0,0,0,0,0,0,0,0,0,0,0
98,2014,Arkansas,Desha,768,240623,65603967,3673851,2604482,2937862,0.799668,1868493,1069369,2432.933594,7.765230256
99,2014,Arkansas,Drew,218,58517,15653943,1016527,758334,872091,0.857912,613898,258193,2816.045872,10.49093426
100,2014,Arkansas,Faulkner,53,12527,2889958,432281,285927,164063,0.379528,17709,146354,334.1320755,1.41366648
101,2014,Arkansas,Franklin,26,2335,336947,83729,57094,49766,0.594369,23131,26635,889.6538462,9.90620985
102,2014,Arkansas,Fulton,10,5767,320476,46668,23802,28392,0.608382,5526,22866,552.6,0.958210508
103,2014,Arkansas,Greene,877,168379,82864925,5418997,3676451,6920498,1.27708,5177952,1742546,5904.164196,30.75176833
104,2014,Arkansas,Hempstead,1,100,3508,592,302,0,0,-290,290,-290,-2.9
105,2014,Arkansas,Hot Spring,10,2377,490847,72747,54156,3858,0.053033,-14733,18591,-1473.3,-6.198148927
106,2014,Arkansas,Howard,3,1290,250221,42157,25154,12835,0.304457,-4168,17003,-1389.333333,-3.231007752
107,2014,Arkansas,Independence,303,61030,13857861,1762527,1373072,1358855,0.770969,969400,389455,3199.339934,15.88399148
108,2014,Arkansas,Izard,5,2962,164556,22633,11543,32673,1.4436,21583,11090,4316.6,7.286630655
109,2014,Arkansas,Jackson,1023,259444,78127123,9203549,6790602,8497085,0.92324,6084138,2412947,5947.348974,23.45067914
110,2014,Arkansas,Jefferson,516,181619,45148665,3283736,2540989,1422279,0.433128,679532,742747,1316.922481,3.74152484
111,2014,Arkansas,Johnson,27,4492,877177,197816,127153,44712,0.226028,-25951,70663,-961.1481481,-5.777159394
112,2014,Arkansas,Lafayette,135,39024,8613622,1059702,862606,351034,0.331257,153938,197096,1140.281481,3.944700697
113,2014,Arkansas,Lawrence,657,154356,67466149,4626909,3293337,5718251,1.235868,4384679,1333572,6673.788432,28.4062751
114,2014,Arkansas,Lee,531,223022,52807204,5090651,3933201,2816822,0.553332,1659372,1157450,3124.99435,7.440396015
115,2014,Arkansas,Lincoln,247,85730,25821072,1737786,1268912,1426162,0.820677,957288,468874,3875.659919,11.16631284
116,2014,Arkansas,Little River,47,27355,4564238,871585,674696,605535,0.694751,408646,196889,8694.595745,14.93862182
117,2014,Arkansas,Logan,32,9792,2036832,412967,276461,48736,0.118014,-87770,136506,-2742.8125,-8.963439542
118,2014,Arkansas,Lonoke,523,137931,40826694,2141114,1548747,2555865,1.193708,1963498,592367,3754.298279,14.23536406
119,2014,Arkansas,Madison,2,921,81121,10941,6018,9936,0.908143,5013,4923,2506.5,5.442996743
120,2014,Arkansas,Miller,106,88003,15282359,3899975,2951475,2682747,0.687888,1734247,948500,16360.82075,19.70668045
121,2014,Arkansas,Mississippi,1304,469241,139850639,10139286,7508590,4518753,0.445667,1888057,2630696,1447.896472,4.023640304
122,2014,Arkansas,Monroe,705,179107,51594381,3696122,2651560,4427918,1.19799,3383356,1044562,4799.086525,18.8901383
123,2014,Arkansas,Nevada,0,0,0,0,0,0,0,0,0,0,0
124,2014,Arkansas,Perry,32,5634,1505734,151794,104564,123188,0.811547,75958,47230,2373.6875,13.48207313
125,2014,Arkansas,Phillips,720,329500,82099855,8649513,6086332,4506948,0.521063,1943767,2563181,2699.676389,5.899141123
126,2014,Arkansas,Poinsett,1339,319036,122523041,7012501,4825106,5073588,0.723506,2886193,2187395,2155.483943,9.046606026
127,2014,Arkansas,Pope,44,13245,3410778,358267,255586,187061,0.522127,84380,102681,1917.727273,6.370705927
128,2014,Arkansas,Prairie,299,75853,25431562,1443328,1032858,1810426,1.254341,1399956,410470,4682.12709,18.45617181
129,2014,Arkansas,Pulaski,130,30659,5271738,606523,456635,531173,0.875767,381285,149888,2932.961538,12.4363156
130,2014,Arkansas,Randolph,248,61713,29220669,1773963,1231316,1410578,0.795156,867931,542647,3499.721774,14.06398976
131,2014,Arkansas,Scott,0,0,0,0,0,0,0,0,0,0,0
132,2014,Arkansas,Searcy,2,778,43214,5562,2838,9504,1.708737,6780,2724,3390,8.714652956
133,2014,Arkansas,Sebastian,28,6365,768449,135662,103928,35094,0.258687,3360,31734,120,0.527886881
134,2014,Arkansas,Sevier,7,1652,296165,57119,35685,21995,0.385073,561,21434,80.14285714,0.339588378
135,2014,Arkansas,St Francis,593,222760,56643765,4636774,3571688,4993609,1.076957,3928523,1065086,6624.827993,17.63567517
136,2014,Arkansas,Stone,19,6314,389146,52859,26956,58674,1.110009,32771,25903,1724.789474,5.190212227
137,2014,Arkansas,Union,2,1641,269045,38657,21260,42343,1.095351,24946,17397,12473,15.20170628
138,2014,Arkansas,Van Buren,1,210,44510,6638,3385,9191,1.384603,5938,3253,5938,28.27619048
139,2014,Arkansas,Washington,3,678,79035,9136,5052,10482,1.147329,6398,4084,2132.666667,9.436578171
140,2014,Arkansas,White,171,56258,13441141,1893248,1321456,2841083,1.500639,2269291,571792,13270.7076,40.33721426
141,2014,Arkansas,Woodruff,545,194522,44406334,4661529,3703831,4474735,0.959928,3517037,957698,6453.278899,18.08040736
142,2014,Arkansas,Yell,51,9060,1493196,135552,95322,88254,0.651071,48024,40230,941.6470588,5.300662252
143,2014,California,Alameda,11,8266,3480024,161676,102921,49231,0.304504,-9524,58755,-865.8181818,-1.152189693
144,2014,California,Amador,29,18687,3013884,123876,73805,109468,0.88369,59397,50071,2048.172414,3.178519827
145,2014,California,Butte,791,141213,237572540,10471107,6425404,2091854,0.199773,-1953849,4045703,-2470.099874,-13.83618364
146,2014,California,Calaveras,32,28254,2459787,167722,93039,195687,1.166734,121004,74683,3781.375,4.282721031
147,2014,California,Colusa,724,271246,341382565,12113236,6312241,20836835,1.72017,15035840,5800995,20767.73481,55.43248564
148,2014,California,Contra Costa,46,15971,11531187,520207,320593,517374,0.994554,317760,199614,6907.826087,19.89606161
149,2014,California,El Dorado,48,568,1630990,130325,75959,295870,2.270247,241504,54366,5031.333333,425.1830986
150,2014,California,Fresno,3866,752941,1270762643,70012909,41849442,109899879,1.569708,81736412,28163467,21142.37248,108.5561976
151,2014,California,Glenn,649,175412,205641663,8819209,4954580,12051011,1.36645,8186382,3864629,12613.83975,46.66945249
152,2014,California,Humboldt,7,38691,757427,173360,94641,242838,1.400772,164119,78719,23445.57143,4.241787496
153,2014,California,Imperial,90,29442,27512776,1186250,784068,1435822,1.210387,1033640,402182,11484.88889,35.10766932
154,2014,California,Kern,1364,918866,992814034,46964112,33156654,60018006,1.277954,46210548,13807458,33878.70088,50.29084546
155,2014,California,Kings,590,320949,289570670,19239103,11493671,44170939,2.295893,36425507,7745432,61738.14746,113.4931313
156,2014,California,Lake,128,27969,26133407,978496,535397,768072,0.784951,324973,443099,2538.851563,11.61904251
157,2014,California,Lassen,41,410981,5976610,1299295,728324,1079449,0.830795,508478,570971,12401.90244,1.237229945
158,2014,California,Los Angeles,2,20761,286490,91257,50192,46146,0.50567,5081,41065,2540.5,0.244737729
159,2014,California,Madera,1009,233291,441483509,19015087,12168171,13175653,0.692905,6328737,6846916,6272.286422,27.12808038
160,2014,California,Marin,8,407,417213,18382,9906,2764,0.150364,-5712,8476,-714,-14.03439803
161,2014,California,Mariposa,6,25205,277512,70597,37754,111231,1.575576,78388,32843,13064.66667,3.110017854
162,2014,California,Mendocino,202,29361,48812068,2235048,1256100,1257780,0.562753,278832,978948,1380.356436,9.496679268
163,2014,California,Merced,1065,245081,383068158,14925272,9167789,14243889,0.954347,8486406,5757483,7968.456338,34.62694375
164,2014,California,Modoc,130,301736,27706219,3212090,1900526,4512548,1.404863,3200984,1311564,24622.95385,10.60855847
165,2014,California,Mono,4,10593,1242834,78270,57806,24383,0.311524,3919,20464,979.75,0.369961295
166,2014,California,Monterey,151,171109,104729304,4036727,2699545,1237296,0.306509,-99886,1337182,-661.4966887,-0.583756553
167,2014,California,Napa,519,38053,181429304,6590876,3884438,798133,0.121096,-1908305,2706438,-3676.888247,-50.14860852
168,2014,California,Nevada,3,877,662562,36670,17766,0,0,-18904,18904,-6301.333333,-21.55530217
169,2014,California,Orange,5,1606,4169372,228780,215288,0,0,-13492,13492,-2698.4,-8.400996264
170,2014,California,Placer,53,14400,16554019,854435,386237,2005300,2.346931,1537102,468198,29001.92453,106.7431944
171,2014,California,Plumas,14,69834,787672,220128,121078,239710,1.088957,140660,99050,10047.14286,2.014205115
172,2014,California,Riverside,360,54088,53382215,2973902,2323861,3184429,1.070791,2534388,650041,7039.966667,46.85675196
173,2014,California,Sacramento,253,56078,81326354,3251358,1901515,3166100,0.973777,1816257,1349843,7178.881423,32.38804879
174,2014,California,San Benito,69,169399,15845863,1559013,894939,2455687,1.575154,1791613,664074,25965.4058,10.5762903
175,2014,California,San Bernardino,58,1535,1948243,116092,72732,60847,0.524127,17487,43360,301.5,11.39218241
176,2014,California,San Diego,401,16121,31532825,2499386,2176257,1698462,0.679551,1375333,323129,3429.758105,85.31313194
177,2014,California,San Joaquin,1852,233988,483198015,28450243,17201131,23175784,0.814607,11926672,11249112,6439.887689,50.97129767
178,2014,California,San Luis Obispo,401,169845,85042706,3885529,2633465,3845005,0.98957,2592941,1252064,6466.187032,15.26651359
179,2014,California,Santa Barbara,214,108544,57996242,2950296,2182380,846509,0.286923,78593,767916,367.2570093,0.724065817
180,2014,California,Santa Clara,39,34052,8877504,963091,535812,1963044,2.038274,1535765,427279,39378.58974,45.10058146
181,2014,California,Santa Cruz,19,4008,1573543,82930,57966,15208,0.183383,-9756,24964,-513.4736842,-2.434131737
182,2014,California,Shasta,30,22685,4886934,216638,132437,536615,2.477012,452414,84201,15080.46667,19.94331056
183,2014,California,Sierra,5,7546,81641,20431,11237,22565,1.104449,13371,9194,2674.2,1.771932149
184,2014,California,Siskiyou,105,76085,21994186,2140726,1272686,2609495,1.218976,1741455,868040,16585.28571,22.88828284
185,2014,California,Solano,213,81811,49570888,1851764,1270723,547471,0.295648,-33570,581041,-157.6056338,-0.410336018
186,2014,California,Sonoma,780,39663,212893810,6781096,3780505,1255499,0.185146,-1745092,3000591,-2237.297436,-43.99798301
187,2014,California,Stanislaus,1113,190829,347412955,14090303,8769672,8975816,0.63702,3655185,5320631,3284.083558,19.1542428
188,2014,California,Sutter,1009,182060,239097434,16008566,8569277,16223802,1.013445,8784513,7439289,8706.157582,48.25064814
189,2014,California,Tehama,342,177459,65767320,4675750,3040444,2920201,0.624541,1284895,1635306,3757.002924,7.240517528
190,2014,California,Tulare,3921,456870,570251754,34202915,22218822,42755581,1.250056,30771488,11984093,7847.867381,67.35283122
191,2014,California,Tuolumne,2,2642,94172,24412,13426,64174,2.628789,53188,10986,26594,20.1317184
192,2014,California,Ventura,886,66361,89446353,5900021,4473953,4218729,0.715036,2792661,1426068,3151.987585,42.08286494
193,2014,California,Yolo,487,180546,184892088,9223417,5169492,14500310,1.572119,10446385,4053925,21450.48255,57.85996367
194,2014,California,Yuba,287,51388,63501994,4511621,2669978,392586,0.087016,-1449057,1841643,-5048.979094,-28.1983537
195,2014,Colorado,Adams,497,195569,30369770,5913277,3543716,2480898,0.419547,111337,2369561,224.0181087,0.569297793
196,2014,Colorado,Alamosa,182,108194,47252375,5402038,3189607,6217038,1.150868,4004607,2212431,22003.33516,37.01320776
197,2014,Colorado,Arapahoe,137,80783,9060248,2155830,1328312,1392960,0.646136,565442,827518,4127.313869,6.999517225
198,2014,Colorado,Baca,1112,524129,73298265,19716300,11455564,23290005,1.181256,15029269,8260736,13515.52968,28.67475183
199,2014,Colorado,Bent,325,291524,29697612,7569514,4035084,6020689,0.795386,2486259,3534430,7650.027692,8.528488221
200,2014,Colorado,Boulder,32,3819,1309720,160574,93860,64028,0.398744,-2686,66714,-83.9375,-0.703325478
201,2014,Colorado,Broomfield,3,308,38776,10117,5970,9347,0.92389,5200,4147,1733.333333,16.88311688
202,2014,Colorado,Cheyenne,665,460101,50330522,11896401,7993563,15970591,1.342472,12067753,3902838,18146.99699,26.22848679
203,2014,Colorado,Conejos,38,14811,4933634,581757,329804,667553,1.147477,415600,251953,10936.84211,28.06022551
204,2014,Colorado,Costilla,28,13393,7655229,1007052,637148,1524825,1.514147,1154921,369904,41247.17857,86.23318151
205,2014,Colorado,Crowley,31,101484,1461097,372613,192321,402442,1.080053,222150,180292,7166.129032,2.189015017
206,2014,Colorado,Custer,1,3360,34102,5753,3165,4009,0.696853,1421,2588,1421,0.422916667
207,2014,Colorado,Delta,106,5043,6642713,855225,540269,1346311,1.574218,1031355,314956,9729.764151,204.5121951
208,2014,Colorado,Denver,9,6433,806618,186128,112363,217470,1.168389,143705,73765,15967.22222,22.33872221
209,2014,Colorado,Dolores,98,26776,847004,204773,143670,24388,0.119097,-36715,61103,-374.6428571,-1.371190618
210,2014,Colorado,Douglas,2,10215,216949,40573,20692,41971,1.034456,22090,19881,11045,2.162506118
211,2014,Colorado,El Paso,8,25417,769429,158262,82228,77876,0.49207,1842,76034,230.25,0.072471181
212,2014,Colorado,Elbert,180,218993,8295408,2290848,1403403,1005584,0.438957,118139,887445,656.3277778,0.539464732
213,2014,Colorado,Fremont,2,50908,430741,78651,42570,17918,0.227816,-18163,36081,-9081.5,-0.35678086
214,2014,Colorado,Gunnison,1,623,41353,6484,3567,0,0,-2917,2917,-2917,-4.682182986
215,2014,Colorado,Huerfano,14,121067,2963484,574832,299074,111072,0.193225,-164686,275758,-11763.28571,-1.360288105
216,2014,Colorado,Jackson,0,0,0,0,0,0,0,0,0,0,0
217,2014,Colorado,Kiowa,701,406864,40477691,12729038,8708943,21918314,1.721914,17898219,4020095,25532.40942,43.99066764
218,2014,Colorado,Kit Carson,1438,546711,117462682,20240335,12296309,19553562,0.966069,11609536,7944026,8073.390821,21.23523397
219,2014,Colorado,La Plata,9,1538,85572,29935,17947,42204,1.409854,30216,11988,3357.333333,19.64629389
220,2014,Colorado,Larimer,180,21845,8854591,1024186,601018,444375,0.433881,21207,423168,117.8166667,0.970794232
221,2014,Colorado,Las Animas,49,520553,8431398,1757905,935407,2066016,1.175271,1243518,822498,25377.91837,2.388840329
222,2014,Colorado,Lincoln,601,401315,32369692,8454507,5073222,7523902,0.889927,4142617,3381285,6892.873544,10.32260693
223,2014,Colorado,Logan,1149,241586,59198885,6684885,3966454,3056133,0.45717,337702,2718431,293.9094865,1.39785418
224,2014,Colorado,Mesa,76,2723,6679769,567183,347070,403073,0.710657,182960,220113,2407.368421,67.1905986
225,2014,Colorado,Moffat,11,16876,705035,104048,77897,38309,0.368185,12158,26151,1105.272727,0.720431382
226,2014,Colorado,Montezuma,47,94127,1616622,216029,148976,444469,2.05745,377416,67053,8030.12766,4.009646541
227,2014,Colorado,Montrose,91,9382,7782041,737429,438077,212723,0.288465,-86629,299352,-951.967033,-9.233532296
228,2014,Colorado,Morgan,682,147574,50176978,5885408,3410582,3670954,0.623738,1196128,2474826,1753.853372,8.105275997
229,2014,Colorado,Otero,248,179673,11975250,2353604,1311618,1897135,0.806055,855149,1041986,3448.181452,4.759474156
230,2014,Colorado,Phillips,1017,237117,70220921,7886121,4412079,1603202,0.203294,-1870840,3474042,-1839.567355,-7.889944626
231,2014,Colorado,Prowers,933,371313,49935383,11641687,7024112,16618997,1.427541,12001422,4617575,12863.26045,32.32157775
232,2014,Colorado,Pueblo,104,253190,8467456,1927902,1111511,1543490,0.800606,727099,816391,6991.336538,2.871752439
233,2014,Colorado,Rio Grande,141,34727,36614714,2640965,1569694,2207197,0.835753,1135926,1071271,8056.212766,32.71016788
234,2014,Colorado,Routt,7,3234,292331,46741,36941,0,0,-9800,9800,-1400,-3.03030303
235,2014,Colorado,Saguache,131,41080,42470732,3402783,1950445,4217981,1.239568,2765643,1452338,21111.77863,67.32334469
236,2014,Colorado,San Miguel,3,597,46960,6962,4733,1866,0.268026,-363,2229,-121,-0.608040201
237,2014,Colorado,Sedgwick,664,141513,37547337,4230621,2409406,2480909,0.586417,659694,1821215,993.5150602,4.661720125
238,2014,Colorado,Washington,1497,551480,77402224,11768503,6981382,4678596,0.397552,-108525,4787121,-72.49498998,-0.196788641
239,2014,Colorado,Weld,1631,310358,94414190,12273641,7231041,4938630,0.402376,-103970,5042600,-63.746168,-0.335000226
240,2014,Colorado,Yuma,1283,613347,180478205,16873174,9765243,6455152,0.382568,-652779,7107931,-508.7911146,-1.064289872
241,2014,Connecticut,Fairfield,4,89,118338,22248,13890,68624,3.084501,60266,8358,15066.5,677.1460674
242,2014,Connecticut,Hartford,109,5394,17635756,3614420,2197516,2044466,0.565641,627562,1416904,5757.449541,116.3444568
