Pay_year,State,full_practice_code,practice_code,StatutoryCategory, payments ,practice_instance_count
2014,Indiana,CROP,CROP,Cropland,6399592,892
2014,Indiana,NIPF,NIPF,NIPF,,
2014,Indiana,PAST,PAST,Pastureland,21256,47
2014,Indiana,PCROP,PCROP,Pastured Cropland,,
2014,Iowa,CROP,CROP,Cropland,21573192,4422
2014,Iowa,MINPAY,MINPAY,2014 Other Practices,,
2014,Iowa,NIPF,NIPF,NIPF,,
2014,Iowa,PAST,PAST,Pastureland,524395,911
2014,Iowa,PCROP,PCROP,Pastured Cropland,32012,120
2014,Iowa,RCCR,RCCR,2014 Other Practices,19178,35
2014,Kansas,CROP,CROP,Cropland,16796898,1604
2014,Kansas,MINPAY,MINPAY,2014 Other Practices,2040,5
2014,Kansas,PAST,PAST,Pastureland,164258,115
2014,Kansas,PCROP,PCROP,Pastured Cropland,48285,16
2014,Kansas,RANGE,RANGE,Rangeland,1218684,768
2014,Kansas,RCCR,RCCR,2014 Other Practices,113977,15
2014,Kentucky,CROP,CROP,Cropland,741577,268
2014,Kentucky,MINPAY,MINPAY,2014 Other Practices,14701,24
2014,Kentucky,NIPF,NIPF,NIPF,3015,20
2014,Kentucky,PAST,PAST,Pastureland,186235,194
2014,Kentucky,PCROP,PCROP,Pastured Cropland,121706,45
2014,Louisiana,CROP,CROP,Cropland,26910478,2198
2014,Louisiana,MINPAY,MINPAY,2014 Other Practices,47541,74
2014,Louisiana,NIPF,NIPF,NIPF,444380,296
2014,Louisiana,PAST,PAST,Pastureland,1301998,641
2014,Louisiana,PCROP,PCROP,Pastured Cropland,1117125,206
2014,Louisiana,RANGE,RANGE,Rangeland,856,12
2014,Louisiana,RCCR,RCCR,2014 Other Practices,1491887,162
2014,Maine,MINPAY,MINPAY,2014 Other Practices,4520,5
2014,Maine,NIPF,NIPF,NIPF,1905,20
2014,Maryland,CROP,CROP,Cropland,129331,20
2014,Maryland,PAST,PAST,Pastureland,15150,20
2014,Maryland,RCCR,RCCR,2014 Other Practices,18155,5
2014,Massachusetts,NIPF,NIPF,NIPF,,
2014,Michigan,CROP,CROP,Cropland,2463248,546
2014,Michigan,MINPAY,MINPAY,2014 Other Practices,10044,12
2014,Michigan,NIPF,NIPF,NIPF,44367,70
2014,Michigan,PAST,PAST,Pastureland,9930,67
2014,Michigan,PCROP,PCROP,Pastured Cropland,6535,20
2014,Michigan,RCCR,RCCR,2014 Other Practices,10484,4
2014,Minnesota,CROP,CROP,Cropland,61361344,6178
2014,Minnesota,MINPAY,MINPAY,2014 Other Practices,16309,32
2014,Minnesota,NIPF,NIPF,NIPF,52881,156
2014,Minnesota,PAST,PAST,Pastureland,928195,1030
2014,Minnesota,PCROP,PCROP,Pastured Cropland,135541,184
2014,Minnesota,RCCR,RCCR,2014 Other Practices,8753,5
2014,Mississippi,CROP,CROP,Cropland,28591785,1668
2014,Mississippi,MINPAY,MINPAY,2014 Other Practices,101022,132
2014,Mississippi,NIPF,NIPF,NIPF,60628,208
2014,Mississippi,PAST,PAST,Pastureland,680636,346
2014,Mississippi,PCROP,PCROP,Pastured Cropland,221300,82
2014,Missouri,CROP,CROP,Cropland,13347258,1860
2014,Missouri,MINPAY,MINPAY,2014 Other Practices,84583,136
2014,Missouri,NIPF,NIPF,NIPF,147454,434
2014,Missouri,PAST,PAST,Pastureland,2878040,1776
2014,Missouri,PCROP,PCROP,Pastured Cropland,546008,408
2014,Montana,CROP,CROP,Cropland,18193799,1724
2014,Montana,MINPAY,MINPAY,2014 Other Practices,13680,16
2014,Montana,NIPF,NIPF,NIPF,122840,104
2014,Montana,PAST,PAST,Pastureland,997000,530
2014,Montana,PCROP,PCROP,Pastured Cropland,1965,11
2014,Montana,RANGE,RANGE,Rangeland,6628128,1176
2014,Montana,RCCR,RCCR,2014 Other Practices,33723,9
2014,Nebraska,CROP,CROP,Cropland,26641706,3634
2014,Nebraska,MINPAY,MINPAY,2014 Other Practices,17085,33
2014,Nebraska,NIPF,NIPF,NIPF,2268,12
2014,Nebraska,PAST,PAST,Pastureland,489950,387
2014,Nebraska,PCROP,PCROP,Pastured Cropland,25134,26
2014,Nebraska,RANGE,RANGE,Rangeland,13137368,2644
2014,Nebraska,RCCR,RCCR,2014 Other Practices,37524,14
2014,Nevada,CROP,CROP,Cropland,184705,10
2014,New Jersey,CROP,CROP,Cropland,155998,56
2014,New Mexico,CROP,CROP,Cropland,536850,148
2014,New Mexico,MINPAY,MINPAY,2014 Other Practices,10781,16
2014,New Mexico,NIPF,NIPF,NIPF,246010,60
2014,New Mexico,PAST,PAST,Pastureland,36667,86
2014,New Mexico,PCROP,PCROP,Pastured Cropland,21900,10
2014,New Mexico,RANGE,RANGE,Rangeland,22218266,1276
2014,New York,CROP,CROP,Cropland,2776124,344
2014,New York,MINPAY,MINPAY,2014 Other Practices,5932,11
2014,New York,NIPF,NIPF,NIPF,107527,54
2014,New York,PAST,PAST,Pastureland,36849,68
2014,New York,PCROP,PCROP,Pastured Cropland,13375,20
2014,New York,RCCR,RCCR,2014 Other Practices,7200,6
2014,North Carolina,CROP,CROP,Cropland,1257426,164
2014,North Carolina,MINPAY,MINPAY,2014 Other Practices,4372,10
2014,North Carolina,NIPF,NIPF,NIPF,9725,20
2014,North Carolina,PAST,PAST,Pastureland,,
2014,North Dakota,CROP,CROP,Cropland,47896877,3520
2014,North Dakota,MINPAY,MINPAY,2014 Other Practices,2385,11
2014,North Dakota,PAST,PAST,Pastureland,672210,488
2014,North Dakota,PCROP,PCROP,Pastured Cropland,23576,21
2014,North Dakota,RANGE,RANGE,Rangeland,1241724,774
2014,North Dakota,RCCR,RCCR,2014 Other Practices,3632,4
2014,Ohio,CROP,CROP,Cropland,5096924,1002
2014,Ohio,MINPAY,MINPAY,2014 Other Practices,12584,17
2014,Ohio,NIPF,NIPF,NIPF,20223,94
2014,Ohio,PAST,PAST,Pastureland,32398,123
2014,Ohio,PCROP,PCROP,Pastured Cropland,,
2014,Ohio,RCCR,RCCR,2014 Other Practices,,
2014,Oklahoma,CROP,CROP,Cropland,19386996,3824
2014,Oklahoma,MINPAY,MINPAY,2014 Other Practices,55195,137
2014,Oklahoma,NIPF,NIPF,NIPF,55191,80
2014,Oklahoma,PAST,PAST,Pastureland,10880826,5533
2014,Oklahoma,PCROP,PCROP,Pastured Cropland,6567109,2344
2014,Oklahoma,RANGE,RANGE,Rangeland,7559661,4060
2014,Oklahoma,RCCR,RCCR,2014 Other Practices,15812,13
2014,Oregon,CROP,CROP,Cropland,14620008,1132
2014,Oregon,NIPF,NIPF,NIPF,1566769,160
2014,Oregon,PAST,PAST,Pastureland,374601,411
2014,Oregon,PCROP,PCROP,Pastured Cropland,,
2014,Oregon,RANGE,RANGE,Rangeland,3998784,800
2014,Oregon,RCCR,RCCR,2014 Other Practices,,
2014,Pennsylvania,CROP,CROP,Cropland,1800092,446
2014,Pennsylvania,NIPF,NIPF,NIPF,2090,10
2014,Pennsylvania,PAST,PAST,Pastureland,27626,102
2014,Pennsylvania,PCROP,PCROP,Pastured Cropland,180,5
2014,Pennsylvania,RCCR,RCCR,2014 Other Practices,48594,9
2014,Rhode Island,MINPAY,MINPAY,2014 Other Practices,,
2014,Rhode Island,NIPF,NIPF,NIPF,,
2014,South Carolina,CROP,CROP,Cropland,1244379,318
2014,South Carolina,MINPAY,MINPAY,2014 Other Practices,11240,16
2014,South Carolina,NIPF,NIPF,NIPF,129441,178
2014,South Carolina,PAST,PAST,Pastureland,99578,158
2014,South Dakota,CROP,CROP,Cropland,54799162,5958
2014,South Dakota,MINPAY,MINPAY,2014 Other Practices,738,6
2014,South Dakota,NIPF,NIPF,NIPF,20605,10
2014,South Dakota,PAST,PAST,Pastureland,2756777,1384
2014,South Dakota,PCROP,PCROP,Pastured Cropland,135765,117
2014,South Dakota,RANGE,RANGE,Rangeland,21647947,3146
2014,South Dakota,RCCR,RCCR,2014 Other Practices,465758,160
2014,Tennessee,CROP,CROP,Cropland,6141051,552
2014,Tennessee,MINPAY,MINPAY,2014 Other Practices,29168,36
2014,Tennessee,NIPF,NIPF,NIPF,17828,76
2014,Tennessee,PAST,PAST,Pastureland,157726,224
2014,Tennessee,PCROP,PCROP,Pastured Cropland,25985,28
2014,Texas,CROP,CROP,Cropland,7619131,720
2014,Texas,MINPAY,MINPAY,2014 Other Practices,7797,16
2014,Texas,NIPF,NIPF,NIPF,67210,70
2014,Texas,PAST,PAST,Pastureland,1777846,509
2014,Texas,PCROP,PCROP,Pastured Cropland,250881,80
2014,Texas,RANGE,RANGE,Rangeland,4316366,696
2014,Utah,CROP,CROP,Cropland,1371276,428
2014,Utah,MINPAY,MINPAY,2014 Other Practices,1968,6
2014,Utah,NIPF,NIPF,NIPF,226424,22
2014,Utah,PAST,PAST,Pastureland,354870,214
2014,Utah,PCROP,PCROP,Pastured Cropland,115326,6
2014,Utah,RANGE,RANGE,Rangeland,2685797,410
2014,Vermont,CROP,CROP,Cropland,,
2014,Vermont,PAST,PAST,Pastureland,,
2014,Virginia,CROP,CROP,Cropland,1094812,300
2014,Virginia,MINPAY,MINPAY,2014 Other Practices,,
2014,Virginia,NIPF,NIPF,NIPF,255245,168
2014,Virginia,PAST,PAST,Pastureland,203384,224
2014,Virginia,PCROP,PCROP,Pastured Cropland,,
2014,Washington,CROP,CROP,Cropland,11162664,564
2014,Washington,MINPAY,MINPAY,2014 Other Practices,,
2014,Washington,NIPF,NIPF,NIPF,,
2014,Washington,PAST,PAST,Pastureland,10803,36
2014,Washington,RANGE,RANGE,Rangeland,390483,82
2014,West Virginia,CROP,CROP,Cropland,393544,670
2014,West Virginia,MINPAY,MINPAY,2014 Other Practices,164253,224
2014,West Virginia,NIPF,NIPF,NIPF,137620,448
2014,West Virginia,PAST,PAST,Pastureland,310245,763
2014,West Virginia,PCROP,PCROP,Pastured Cropland,4530,15
2014,Wisconsin,CROP,CROP,Cropland,16381635,4196
2014,Wisconsin,MINPAY,MINPAY,2014 Other Practices,118105,175
2014,Wisconsin,NIPF,NIPF,NIPF,148453,516
2014,Wisconsin,PAST,PAST,Pastureland,316992,1048
2014,Wisconsin,PCROP,PCROP,Pastured Cropland,117626,143
2014,Wisconsin,RCCR,RCCR,2014 Other Practices,55023,29
2014,Wyoming,CROP,CROP,Cropland,440722,130
2014,Wyoming,PAST,PAST,Pastureland,67195,40
2014,Wyoming,RANGE,RANGE,Rangeland,1729143,138
2015,Alabama,CROP,CROP,Cropland,6714946,964
2015,Alabama,MINPAY,MINPAY,2014 Other Practices,41002,67
2015,Alabama,NIPF,NIPF,NIPF,5069201,1602
2015,Alabama,PAST,PAST,Pastureland,1473585,835
2015,Alabama,PCROP,PCROP,Pastured Cropland,523664,200
2015,Alaska,CROP,CROP,Cropland,292873,22
2015,Alaska,NIPF,NIPF,NIPF,2781200,64
2015,Alaska,PAST,PAST,Pastureland,47169,22
2015,Arizona,CROP,CROP,Cropland,1328476,132
2015,Arizona,PAST,PAST,Pastureland,39731,62
2015,Arizona,RANGE,RANGE,Rangeland,5818442,276
2015,Arkansas,CROP,CROP,Cropland,60088038,4814
2015,Arkansas,MINPAY,MINPAY,2014 Other Practices,77650,117
2015,Arkansas,NIPF,NIPF,NIPF,1159086,756
2015,Arkansas,PAST,PAST,Pastureland,3205884,1553
2015,Arkansas,PCROP,PCROP,Pastured Cropland,526358,258
2015,Arkansas,RCCR,RCCR,2014 Other Practices,86942,32
2015,California,CROP,CROP,Cropland,5834625,824
2015,California,MINPAY,MINPAY,2014 Other Practices,8265,10
2015,California,NIPF,NIPF,NIPF,148780,30
2015,California,PAST,PAST,Pastureland,1673131,428
2015,California,PCROP,PCROP,Pastured Cropland,74999,36
2015,California,RANGE,RANGE,Rangeland,5297029,745
2015,California,RCCR,RCCR,2014 Other Practices,10620,5
2015,California,RCCR98,RCCR98,2014 Other Practices,1440,6
2015,Colorado,CROP,CROP,Cropland,23915545,2362
2015,Colorado,MINPAY,MINPAY,2014 Other Practices,2140,5
2015,Colorado,NIPF,NIPF,NIPF,48816,42
2015,Colorado,PAST,PAST,Pastureland,546601,383
2015,Colorado,PCROP,PCROP,Pastured Cropland,41705,15
2015,Colorado,RANGE,RANGE,Rangeland,10211169,1958
2015,Connecticut,CROP,CROP,Cropland,93899,62
2015,Connecticut,MINPAY,MINPAY,2014 Other Practices,4960,5
2015,Connecticut,NIPF,NIPF,NIPF,179039,62
2015,Connecticut,PAST,PAST,Pastureland,,
2015,Connecticut,PCROP,PCROP,Pastured Cropland,,
2015,Delaware,CROP,CROP,Cropland,1962565,224
2015,Delaware,MINPAY,MINPAY,2014 Other Practices,,
2015,Delaware,PAST,PAST,Pastureland,1325,5
2015,Delaware,PCROP,PCROP,Pastured Cropland,,
2015,Florida,CROP,CROP,Cropland,609788,176
2015,Florida,MINPAY,MINPAY,2014 Other Practices,18051,23
2015,Florida,NIPF,NIPF,NIPF,390643,258
2015,Florida,PAST,PAST,Pastureland,2291062,366
2015,Florida,RANGE,RANGE,Rangeland,167771,116
2015,Georgia,CROP,CROP,Cropland,52116573,4072
2015,Georgia,MINPAY,MINPAY,2014 Other Practices,164804,256
2015,Georgia,NIPF,NIPF,NIPF,6449457,2450
2015,Georgia,PAST,PAST,Pastureland,2618293,1444
2015,Georgia,PCROP,PCROP,Pastured Cropland,285539,131
2015,Georgia,RCCR,RCCR,2014 Other Practices,89164,26
2015,Georgia,RCCR98,RCCR98,2014 Other Practices,25758,12
2015,Hawaii,PAST,PAST,Pastureland,48905,10
2015,Idaho,CROP,CROP,Cropland,7592871,730
2015,Idaho,MINPAY,MINPAY,2014 Other Practices,10715,14
2015,Idaho,NIPF,NIPF,NIPF,1759334,112
2015,Idaho,PAST,PAST,Pastureland,541778,233
2015,Idaho,PCROP,PCROP,Pastured Cropland,39786,47
2015,Idaho,RANGE,RANGE,Rangeland,1658620,360
2015,Idaho,RCCR,RCCR,2014 Other Practices,24823,11
2015,Illinois,CROP,CROP,Cropland,55488907,6378
2015,Illinois,MINPAY,MINPAY,2014 Other Practices,23841,28
2015,Illinois,NIPF,NIPF,NIPF,126719,386
2015,Illinois,PAST,PAST,Pastureland,251858,506
2015,Illinois,PCROP,PCROP,Pastured Cropland,64909,100
2015,Illinois,RCCR,RCCR,2014 Other Practices,88084,19
2015,Indiana,CROP,CROP,Cropland,19212838,2100
2015,Indiana,MINPAY,MINPAY,2014 Other Practices,,
2015,Indiana,NIPF,NIPF,NIPF,20389,108
2015,Indiana,PAST,PAST,Pastureland,179394,238
2015,Indiana,PCROP,PCROP,Pastured Cropland,,
2015,Indiana,RCCR,RCCR,2014 Other Practices,25457,14
2015,Iowa,CROP,CROP,Cropland,54637021,10029
2015,Iowa,MINPAY,MINPAY,2014 Other Practices,24026,43
2015,Iowa,NIPF,NIPF,NIPF,38005,152
2015,Iowa,PAST,PAST,Pastureland,2153134,2431
2015,Iowa,PCROP,PCROP,Pastured Cropland,131956,277
2015,Iowa,RCCR,RCCR,2014 Other Practices,4545,14
2015,Iowa,RCCR98,RCCR98,2014 Other Practices,1176,6
2015,Kansas,CROP,CROP,Cropland,48457096,4752
2015,Kansas,MINPAY,MINPAY,2014 Other Practices,3402,6
2015,Kansas,PAST,PAST,Pastureland,865102,660
2015,Kansas,PCROP,PCROP,Pastured Cropland,399320,153
2015,Kansas,RANGE,RANGE,Rangeland,5948970,2300
2015,Kansas,RCCR,RCCR,2014 Other Practices,67563,12
2015,Kentucky,CROP,CROP,Cropland,3896352,956
2015,Kentucky,MINPAY,MINPAY,2014 Other Practices,49339,79
2015,Kentucky,NIPF,NIPF,NIPF,591717,584
2015,Kentucky,PAST,PAST,Pastureland,737217,828
2015,Kentucky,PCROP,PCROP,Pastured Cropland,386915,228
2015,Louisiana,CROP,CROP,Cropland,39047358,3010
2015,Louisiana,MINPAY,MINPAY,2014 Other Practices,129037,200
2015,Louisiana,NIPF,NIPF,NIPF,965351,814
2015,Louisiana,PAST,PAST,Pastureland,3408778,1505
2015,Louisiana,PCROP,PCROP,Pastured Cropland,2229728,452
2015,Louisiana,RCCR,RCCR,2014 Other Practices,399093,34
2015,Maine,CROP,CROP,Cropland,290091,80
2015,Maine,NIPF,NIPF,NIPF,620160,225
2015,Maine,PAST,PAST,Pastureland,9790,40
2015,Maine,PCROP,PCROP,Pastured Cropland,6055,5
2015,Maryland,CROP,CROP,Cropland,1686690,238
2015,Maryland,NIPF,NIPF,NIPF,435,10
2015,Maryland,PAST,PAST,Pastureland,22930,62
2015,Maryland,RCCR,RCCR,2014 Other Practices,18448,16
2015,Massachusetts,CROP,CROP,Cropland,40183,34
2015,Massachusetts,NIPF,NIPF,NIPF,120020,40
2015,Michigan,CROP,CROP,Cropland,11099105,1658
2015,Michigan,MINPAY,MINPAY,2014 Other Practices,34572,46
2015,Michigan,NIPF,NIPF,NIPF,615639,1086
2015,Michigan,PAST,PAST,Pastureland,134201,252
2015,Michigan,PCROP,PCROP,Pastured Cropland,57432,21
2015,Michigan,RCCR,RCCR,2014 Other Practices,122832,27
2015,Minnesota,CROP,CROP,Cropland,87106154,10590
2015,Minnesota,MINPAY,MINPAY,2014 Other Practices,111672,172
2015,Minnesota,NIPF,NIPF,NIPF,1951229,2344
2015,Minnesota,PAST,PAST,Pastureland,3364978,2883
2015,Minnesota,PCROP,PCROP,Pastured Cropland,519911,402
2015,Minnesota,RCCR,RCCR,2014 Other Practices,71394,72
2015,Minnesota,RCCR98,RCCR98,2014 Other Practices,30163,21
2015,Mississippi,CROP,CROP,Cropland,50528736,2382
2015,Mississippi,MINPAY,MINPAY,2014 Other Practices,65498,125
2015,Mississippi,NIPF,NIPF,NIPF,1089033,816
2015,Mississippi,PAST,PAST,Pastureland,1797183,832
2015,Mississippi,PCROP,PCROP,Pastured Cropland,220155,136
2015,Missouri,CROP,CROP,Cropland,33749460,4904
2015,Missouri,MINPAY,MINPAY,2014 Other Practices,172512,258
2015,Missouri,NIPF,NIPF,NIPF,1351188,1688
2015,Missouri,PAST,PAST,Pastureland,11050632,6305
2015,Missouri,PCROP,PCROP,Pastured Cropland,2437625,1440
2015,Missouri,RCCR,RCCR,2014 Other Practices,39867,19
2015,Montana,CROP,CROP,Cropland,41637824,3886
2015,Montana,MINPAY,MINPAY,2014 Other Practices,15899,21
2015,Montana,NIPF,NIPF,NIPF,319876,150
2015,Montana,PAST,PAST,Pastureland,4515582,1720
2015,Montana,PCROP,PCROP,Pastured Cropland,50030,20
2015,Montana,RANGE,RANGE,Rangeland,16878922,2828
2015,Montana,RCCR,RCCR,2014 Other Practices,178638,47
2015,Nebraska,CROP,CROP,Cropland,51770345,7436
2015,Nebraska,MINPAY,MINPAY,2014 Other Practices,25406,41
2015,Nebraska,NIPF,NIPF,NIPF,14984,98
2015,Nebraska,PAST,PAST,Pastureland,1261884,1511
2015,Nebraska,PCROP,PCROP,Pastured Cropland,76707,123
2015,Nebraska,RANGE,RANGE,Rangeland,19338166,4272
2015,Nebraska,RCCR,RCCR,2014 Other Practices,171428,42
2015,Nevada,CROP,CROP,Cropland,320511,38
2015,Nevada,PAST,PAST,Pastureland,59908,20
2015,Nevada,PCROP,PCROP,Pastured Cropland,2405,5
2015,Nevada,RANGE,RANGE,Rangeland,58145,26
2015,New Hampshire,CROP,CROP,Cropland,151092,44
2015,New Hampshire,MINPAY,MINPAY,2014 Other Practices,,
2015,New Hampshire,NIPF,NIPF,NIPF,154076,64
2015,New Hampshire,PAST,PAST,Pastureland,,
2015,New Jersey,CROP,CROP,Cropland,309646,78
2015,New Jersey,PAST,PAST,Pastureland,2160,18
2015,New Jersey,PCROP,PCROP,Pastured Cropland,4842,6
2015,New Mexico,CROP,CROP,Cropland,900148,144
2015,New Mexico,MINPAY,MINPAY,2014 Other Practices,32378,51
2015,New Mexico,NIPF,NIPF,NIPF,2113134,150
2015,New Mexico,PAST,PAST,Pastureland,11114,46
2015,New Mexico,RANGE,RANGE,Rangeland,24130628,1820
2015,New York,CROP,CROP,Cropland,10138892,1216
2015,New York,MINPAY,MINPAY,2014 Other Practices,57099,78
2015,New York,NIPF,NIPF,NIPF,332086,493
2015,New York,PAST,PAST,Pastureland,211318,423
2015,New York,PCROP,PCROP,Pastured Cropland,49802,93
2015,New York,RCCR,RCCR,2014 Other Practices,6000,5
2015,North Carolina,CROP,CROP,Cropland,1575187,432
2015,North Carolina,MINPAY,MINPAY,2014 Other Practices,5883,11
2015,North Carolina,NIPF,NIPF,NIPF,87126,146
2015,North Carolina,PAST,PAST,Pastureland,222115,276
2015,North Carolina,PCROP,PCROP,Pastured Cropland,675,5
2015,North Dakota,CROP,CROP,Cropland,90075522,6530
2015,North Dakota,NIPF,NIPF,NIPF,2900,10
2015,North Dakota,PAST,PAST,Pastureland,2668544,1359
2015,North Dakota,PCROP,PCROP,Pastured Cropland,107069,77
2015,North Dakota,RANGE,RANGE,Rangeland,5498194,2230
2015,North Dakota,RCCR,RCCR,2014 Other Practices,42800,10
2015,Ohio,CROP,CROP,Cropland,8739203,1574
2015,Ohio,MINPAY,MINPAY,2014 Other Practices,75202,110
2015,Ohio,NIPF,NIPF,NIPF,202362,364
2015,Ohio,PAST,PAST,Pastureland,249952,525
2015,Ohio,PCROP,PCROP,Pastured Cropland,15323,31
2015,Ohio,RCCR,RCCR,2014 Other Practices,4109,14
2015,Oklahoma,CROP,CROP,Cropland,37626627,6601
2015,Oklahoma,MINPAY,MINPAY,2014 Other Practices,,
2015,Oklahoma,NIPF,NIPF,NIPF,420399,240
2015,Oklahoma,PAST,PAST,Pastureland,20190321,9595
2015,Oklahoma,PCROP,PCROP,Pastured Cropland,12390860,4165
2015,Oklahoma,RANGE,RANGE,Rangeland,11967795,6658
2015,Oklahoma,RCCR,RCCR,2014 Other Practices,,
2015,Oregon,CROP,CROP,Cropland,16955231,1995
2015,Oregon,MINPAY,MINPAY,2014 Other Practices,13866,29
2015,Oregon,NIPF,NIPF,NIPF,4836708,708
2015,Oregon,PAST,PAST,Pastureland,1240588,661
2015,Oregon,PCROP,PCROP,Pastured Cropland,197796,71
2015,Oregon,RANGE,RANGE,Rangeland,12859699,1660
2015,Oregon,RCCR,RCCR,2014 Other Practices,,
2015,Oregon,RCCR98,RCCR98,2014 Other Practices,,
2015,Pennsylvania,CROP,CROP,Cropland,13362316,2778
2015,Pennsylvania,MINPAY,MINPAY,2014 Other Practices,,
2015,Pennsylvania,NIPF,NIPF,NIPF,516009,424
2015,Pennsylvania,PAST,PAST,Pastureland,399885,1098
2015,Pennsylvania,PCROP,PCROP,Pastured Cropland,23588,68
2015,Pennsylvania,RCCR,RCCR,2014 Other Practices,,
2015,Rhode Island,CROP,CROP,Cropland,,
2015,Rhode Island,MINPAY,MINPAY,2014 Other Practices,,
2015,Rhode Island,NIPF,NIPF,NIPF,3755,20
2015,South Carolina,CROP,CROP,Cropland,11735149,2044
2015,South Carolina,MINPAY,MINPAY,2014 Other Practices,153231,214
2015,South Carolina,NIPF,NIPF,NIPF,2808846,1688
2015,South Carolina,PAST,PAST,Pastureland,879107,896
2015,South Carolina,PCROP,PCROP,Pastured Cropland,62379,22
2015,South Carolina,RCCR,RCCR,2014 Other Practices,18810,6
2015,South Dakota,CROP,CROP,Cropland,81328709,8381
2015,South Dakota,MINPAY,MINPAY,2014 Other Practices,4722,10
2015,South Dakota,NIPF,NIPF,NIPF,6575,10
2015,South Dakota,PAST,PAST,Pastureland,4041261,1860
2015,South Dakota,PCROP,PCROP,Pastured Cropland,170652,176
2015,South Dakota,RANGE,RANGE,Rangeland,31975585,4572
2015,South Dakota,RCCR,RCCR,2014 Other Practices,1352988,336
2015,South Dakota,RCCR98,RCCR98,2014 Other Practices,610,5
2015,Tennessee,CROP,CROP,Cropland,7872326,1116
2015,Tennessee,MINPAY,MINPAY,2014 Other Practices,39052,59
2015,Tennessee,NIPF,NIPF,NIPF,883132,738
2015,Tennessee,PAST,PAST,Pastureland,1038496,1276
2015,Tennessee,PCROP,PCROP,Pastured Cropland,267015,233
2015,Texas,CROP,CROP,Cropland,20207592,2366
2015,Texas,MINPAY,MINPAY,2014 Other Practices,36980,62
2015,Texas,NIPF,NIPF,NIPF,663248,674
2015,Texas,PAST,PAST,Pastureland,6739688,2855
2015,Texas,PCROP,PCROP,Pastured Cropland,2079891,743
2015,Texas,RANGE,RANGE,Rangeland,19773261,2688
2015,Utah,CROP,CROP,Cropland,1346787,424
2015,Utah,NIPF,NIPF,NIPF,1127806,36
2015,Utah,PAST,PAST,Pastureland,451716,272
2015,Utah,PCROP,PCROP,Pastured Cropland,19536,6
2015,Utah,RANGE,RANGE,Rangeland,3423516,552
2015,Utah,RCCR,RCCR,2014 Other Practices,17625,5
2015,Vermont,CROP,CROP,Cropland,,
2015,Vermont,NIPF,NIPF,NIPF,63090,20
2015,Vermont,PAST,PAST,Pastureland,,
2015,Virginia,CROP,CROP,Cropland,10555546,1432
