Pay_year,state_code,State,practice_code,payments,StatutoryCategory
2022,5,Arkansas,E647,186467,Land Management (6(A)(ii))
2022,5,Arkansas,E666,3045,Forest management (6(A)(iv))
2022,5,Arkansas,E666,21417,Forest management (6(A)(iv))
2022,5,Arkansas,E666,5038,Forest management (6(A)(iv))
2022,5,Arkansas,E666,1981,Forest management (6(A)(iv))
2022,5,Arkansas,E666,9697,Forest management (6(A)(iv))
2022,5,Arkansas,E666,53904,Forest management (6(A)(iv))
2022,5,Arkansas,E666,1663,Forest management (6(A)(iv))
2022,5,Arkansas,E666,46364,Forest management (6(A)(iv))
2022,5,Arkansas,E666,8004,Forest management (6(A)(iv))
2022,5,Arkansas,E666,11245,Forest management (6(A)(iv))
2022,5,Arkansas,E666,726,Forest management (6(A)(iv))
2022,5,Arkansas,E666,45042,Forest management (6(A)(iv))
2022,5,Arkansas,FARM,81611,2014 Other Practices
2022,5,Arkansas,MINPAY,1871,2014 Other Practices
2022,5,Arkansas,NIPF,273043,NIPF
2022,5,Arkansas,PAST,345317,Pastureland
2022,5,Arkansas,PCROP,21946,Pastured Cropland
2022,6,California,CROP,5902,Cropland
2022,6,California,E590,1280,Land Management (6(A)(ii))
2022,6,California,E590,866,Land Management (6(A)(ii))
2022,6,California,E595,1094,Other (6(A)(vii))
2022,6,California,E595,535,Other (6(A)(vii))
2022,6,California,NIPF,3230,NIPF
2022,6,California,PAST,2865,Pastureland
2022,6,California,PCROP,4613,Pastured Cropland
2022,6,California,RANGE,42725,Rangeland
2022,8,Colorado,315,96,Land Management (6(A)(ii))
2022,8,Colorado,327,1560,Vegetative (6(A)(iii))
2022,8,Colorado,328,7978,Vegetative (6(A)(iii))
2022,8,Colorado,329,5467,Soil remediation (6(A)(vi))
2022,8,Colorado,340,7356,Vegetative (6(A)(iii))
2022,8,Colorado,345,111,Soil remediation (6(A)(vi))
2022,8,Colorado,380,66,Vegetative (6(A)(iii))
2022,8,Colorado,382,1478,Land Management (6(A)(ii))
2022,8,Colorado,449,724,Structural (6(A)(i))
2022,8,Colorado,512,275,Vegetative (6(A)(iii))
2022,8,Colorado,528,1316,Land Management (6(A)(ii))
2022,8,Colorado,590,9714,Land Management (6(A)(ii))
2022,8,Colorado,AGLAND,22942,2014 Other Practices
2022,8,Colorado,CROP,2347811,Cropland
2022,8,Colorado,E315,5300,Land Management (6(A)(ii))
2022,8,Colorado,E328,4437,Vegetative (6(A)(iii))
2022,8,Colorado,E328,25024,Vegetative (6(A)(iii))
2022,8,Colorado,E328,13182,Vegetative (6(A)(iii))
2022,8,Colorado,E328,35656,Vegetative (6(A)(iii))
2022,8,Colorado,E328,4964,Vegetative (6(A)(iii))
2022,8,Colorado,E329,10746,Soil remediation (6(A)(vi))
2022,8,Colorado,E329,5210,Soil remediation (6(A)(vi))
2022,8,Colorado,E340,6530,Vegetative (6(A)(iii))
2022,8,Colorado,E340,1626,Vegetative (6(A)(iii))
2022,8,Colorado,E340,5623,Vegetative (6(A)(iii))
2022,8,Colorado,E345,680,Soil remediation (6(A)(vi))
2022,8,Colorado,E345,20781,Soil remediation (6(A)(vi))
2022,8,Colorado,E374,34612,Other (6(A)(vii))
2022,8,Colorado,E449,1022,Structural (6(A)(i))
2022,8,Colorado,E511,68860,Forest management (6(A)(iv))
2022,8,Colorado,E511,3762,Forest management (6(A)(iv))
2022,8,Colorado,E511,1104,Forest management (6(A)(iv))
2022,8,Colorado,E528,5500,Land Management (6(A)(ii))
2022,8,Colorado,E528,2109,Land Management (6(A)(ii))
2022,8,Colorado,E528,11056,Land Management (6(A)(ii))
2022,8,Colorado,E528,213,Land Management (6(A)(ii))
2022,8,Colorado,E528,1520,Land Management (6(A)(ii))
2022,8,Colorado,E528,1379,Land Management (6(A)(ii))
2022,8,Colorado,E528,2129,Land Management (6(A)(ii))
2022,8,Colorado,E528,423,Land Management (6(A)(ii))
2022,8,Colorado,E528,77337,Land Management (6(A)(ii))
2022,8,Colorado,E590,9814,Land Management (6(A)(ii))
2022,8,Colorado,E590,151605,Land Management (6(A)(ii))
2022,8,Colorado,E590,2633,Land Management (6(A)(ii))
2022,8,Colorado,E590,182934,Land Management (6(A)(ii))
2022,8,Colorado,E590,138350,Land Management (6(A)(ii))
2022,8,Colorado,E595,199179,Other (6(A)(vii))
2022,8,Colorado,E595,89114,Other (6(A)(vii))
2022,8,Colorado,E595,167792,Other (6(A)(vii))
2022,8,Colorado,FARM,40629,2014 Other Practices
2022,8,Colorado,MINPAY,1037,2014 Other Practices
2022,8,Colorado,NIPF,1803,NIPF
2022,8,Colorado,PAST,28968,Pastureland
2022,8,Colorado,RANGE,558258,Rangeland
2022,9,Connecticut,AGLAND,4240,2014 Other Practices
2022,9,Connecticut,CROP,53003,Cropland
2022,9,Connecticut,E329,694,Soil remediation (6(A)(vi))
2022,9,Connecticut,E340,71,Vegetative (6(A)(iii))
2022,9,Connecticut,E484,0,Land Management (6(A)(ii))
2022,9,Connecticut,PAST,112,Pastureland
2022,10,Delaware,340,2643,Vegetative (6(A)(iii))
2022,10,Delaware,511,81,Forest management (6(A)(iv))
2022,10,Delaware,CROP,236810,Cropland
2022,10,Delaware,E328,483,Vegetative (6(A)(iii))
2022,10,Delaware,E328,5772,Vegetative (6(A)(iii))
2022,10,Delaware,E340,798,Vegetative (6(A)(iii))
2022,10,Delaware,E449,20535,Structural (6(A)(i))
2022,10,Delaware,E449,1326,Structural (6(A)(i))
2022,10,Delaware,E590,30672,Land Management (6(A)(ii))
2022,10,Delaware,E590,48072,Land Management (6(A)(ii))
2022,10,Delaware,E595,15187,Other (6(A)(vii))
2022,10,Delaware,FARM,1788,2014 Other Practices
2022,10,Delaware,NIPF,1759,NIPF
2022,12,Florida,315,2,Land Management (6(A)(ii))
2022,12,Florida,394,385,Land Management (6(A)(ii))
2022,12,Florida,512,947,Vegetative (6(A)(iii))
2022,12,Florida,528,1377,Land Management (6(A)(ii))
2022,12,Florida,590,761,Land Management (6(A)(ii))
2022,12,Florida,595,1394,Other (6(A)(vii))
2022,12,Florida,647,2,Land Management (6(A)(ii))
2022,12,Florida,AGLAND,18765,2014 Other Practices
2022,12,Florida,CROP,114886,Cropland
2022,12,Florida,E315,827,Land Management (6(A)(ii))
2022,12,Florida,E338,59569,Land Management (6(A)(ii))
2022,12,Florida,E338,20356,Land Management (6(A)(ii))
2022,12,Florida,E340,6893,Vegetative (6(A)(iii))
2022,12,Florida,E345,2338,Soil remediation (6(A)(vi))
2022,12,Florida,E345,2478,Soil remediation (6(A)(vi))
2022,12,Florida,E511,225,Forest management (6(A)(iv))
2022,12,Florida,E528,802,Land Management (6(A)(ii))
2022,12,Florida,E528,2823,Land Management (6(A)(ii))
2022,12,Florida,E528,223,Land Management (6(A)(ii))
2022,12,Florida,E590,30322,Land Management (6(A)(ii))
2022,12,Florida,E666,21725,Forest management (6(A)(iv))
2022,12,Florida,E666,35381,Forest management (6(A)(iv))
2022,12,Florida,E666,20809,Forest management (6(A)(iv))
2022,12,Florida,E666,1555,Forest management (6(A)(iv))
2022,12,Florida,FARM,7039,2014 Other Practices
2022,12,Florida,NIPF,72165,NIPF
2022,12,Florida,PAST,57851,Pastureland
2022,13,Georgia,314,186,Land Management (6(A)(ii))
2022,13,Georgia,315,380,Land Management (6(A)(ii))
2022,13,Georgia,328,88,Vegetative (6(A)(iii))
2022,13,Georgia,329,2862,Soil remediation (6(A)(vi))
2022,13,Georgia,340,26071,Vegetative (6(A)(iii))
2022,13,Georgia,342,62,Vegetative (6(A)(iii))
2022,13,Georgia,382,257,Land Management (6(A)(ii))
2022,13,Georgia,449,381,Structural (6(A)(i))
2022,13,Georgia,512,909,Vegetative (6(A)(iii))
2022,13,Georgia,528,1251,Land Management (6(A)(ii))
2022,13,Georgia,533,1146,Structural (6(A)(i))
2022,13,Georgia,561,218,Land Management (6(A)(ii))
2022,13,Georgia,578,1710,Structural (6(A)(i))
2022,13,Georgia,590,116,Land Management (6(A)(ii))
2022,13,Georgia,614,206,Structural (6(A)(i))
2022,13,Georgia,645,528,Land Management (6(A)(ii))
2022,13,Georgia,655,74,Forest management (6(A)(iv))
2022,13,Georgia,AGLAND,110002,2014 Other Practices
2022,13,Georgia,CROP,2194098,Cropland
2022,13,Georgia,E314,7952,Land Management (6(A)(ii))
2022,13,Georgia,E314,1717,Land Management (6(A)(ii))
2022,13,Georgia,E315,29229,Land Management (6(A)(ii))
2022,13,Georgia,E315,819,Land Management (6(A)(ii))
2022,13,Georgia,E315,3322,Land Management (6(A)(ii))
2022,13,Georgia,E327,5163,Vegetative (6(A)(iii))
2022,13,Georgia,E327,9324,Vegetative (6(A)(iii))
2022,13,Georgia,E327,6107,Vegetative (6(A)(iii))
2022,13,Georgia,E327,2887,Vegetative (6(A)(iii))
2022,13,Georgia,E328,23612,Vegetative (6(A)(iii))
2022,13,Georgia,E328,3178,Vegetative (6(A)(iii))
2022,13,Georgia,E328,16552,Vegetative (6(A)(iii))
2022,13,Georgia,E328,989,Vegetative (6(A)(iii))
2022,13,Georgia,E328,173,Vegetative (6(A)(iii))
2022,13,Georgia,E328,2544,Vegetative (6(A)(iii))
2022,13,Georgia,E328,7,Vegetative (6(A)(iii))
2022,13,Georgia,E329,25922,Soil remediation (6(A)(vi))
2022,13,Georgia,E329,82647,Soil remediation (6(A)(vi))
2022,13,Georgia,E329,4583,Soil remediation (6(A)(vi))
2022,13,Georgia,E329,6632,Soil remediation (6(A)(vi))
2022,13,Georgia,E329,83,Soil remediation (6(A)(vi))
2022,13,Georgia,E329,24185,Soil remediation (6(A)(vi))
2022,13,Georgia,E334,5421,Other (6(A)(vii))
2022,13,Georgia,E338,42494,Land Management (6(A)(ii))
2022,13,Georgia,E338,774135,Land Management (6(A)(ii))
2022,13,Georgia,E338,221851,Land Management (6(A)(ii))
2022,13,Georgia,E340,238440,Vegetative (6(A)(iii))
2022,13,Georgia,E340,25611,Vegetative (6(A)(iii))
2022,13,Georgia,E340,16035,Vegetative (6(A)(iii))
2022,13,Georgia,E340,12612,Vegetative (6(A)(iii))
2022,13,Georgia,E340,52114,Vegetative (6(A)(iii))
2022,13,Georgia,E340,28330,Vegetative (6(A)(iii))
2022,13,Georgia,E340,4284,Vegetative (6(A)(iii))
2022,13,Georgia,E340,7504,Vegetative (6(A)(iii))
2022,13,Georgia,E340,17812,Vegetative (6(A)(iii))
2022,13,Georgia,E382,15,Land Management (6(A)(ii))
2022,13,Georgia,E386,8266,Vegetative (6(A)(iii))
2022,13,Georgia,E386,178,Vegetative (6(A)(iii))
2022,13,Georgia,E386,517,Vegetative (6(A)(iii))
2022,13,Georgia,E391,388888,Forest management (6(A)(iv))
2022,13,Georgia,E391,17650,Forest management (6(A)(iv))
2022,13,Georgia,E449,234760,Structural (6(A)(i))
2022,13,Georgia,E449,132469,Structural (6(A)(i))
2022,13,Georgia,E449,50041,Structural (6(A)(i))
2022,13,Georgia,E449,582,Structural (6(A)(i))
2022,13,Georgia,E472,3942,Land Management (6(A)(ii))
2022,13,Georgia,E472,1266,Land Management (6(A)(ii))
2022,13,Georgia,E512,15830,Vegetative (6(A)(iii))
2022,13,Georgia,E512,4917,Vegetative (6(A)(iii))
2022,13,Georgia,E512,1851,Vegetative (6(A)(iii))
2022,13,Georgia,E512,14925,Vegetative (6(A)(iii))
2022,13,Georgia,E512,1879,Vegetative (6(A)(iii))
2022,13,Georgia,E512,11855,Vegetative (6(A)(iii))
2022,13,Georgia,E528,3485,Land Management (6(A)(ii))
2022,13,Georgia,E528,10241,Land Management (6(A)(ii))
2022,13,Georgia,E528,29266,Land Management (6(A)(ii))
2022,13,Georgia,E528,18837,Land Management (6(A)(ii))
2022,13,Georgia,E590,631829,Land Management (6(A)(ii))
2022,13,Georgia,E590,145451,Land Management (6(A)(ii))
2022,13,Georgia,E590,13406,Land Management (6(A)(ii))
2022,13,Georgia,E590,23384,Land Management (6(A)(ii))
2022,13,Georgia,E590,94947,Land Management (6(A)(ii))
2022,13,Georgia,E612,816546,Forest management (6(A)(iv))
2022,13,Georgia,E612,5249,Forest management (6(A)(iv))
2022,13,Georgia,E612,15620,Forest management (6(A)(iv))
2022,13,Georgia,E612,25694,Forest management (6(A)(iv))
2022,13,Georgia,E645,35091,Land Management (6(A)(ii))
2022,13,Georgia,E647,260,Land Management (6(A)(ii))
2022,13,Georgia,E666,5419,Forest management (6(A)(iv))
2022,13,Georgia,E666,49335,Forest management (6(A)(iv))
2022,13,Georgia,E666,109325,Forest management (6(A)(iv))
2022,13,Georgia,E666,21834,Forest management (6(A)(iv))
2022,13,Georgia,E666,21130,Forest management (6(A)(iv))
2022,13,Georgia,E666,2462,Forest management (6(A)(iv))
2022,13,Georgia,E666,319,Forest management (6(A)(iv))
2022,13,Georgia,E666,35578,Forest management (6(A)(iv))
2022,13,Georgia,E666,1544,Forest management (6(A)(iv))
2022,13,Georgia,E666,2817,Forest management (6(A)(iv))
2022,13,Georgia,E666,10380,Forest management (6(A)(iv))
2022,13,Georgia,E666,46555,Forest management (6(A)(iv))
2022,13,Georgia,E666,17014,Forest management (6(A)(iv))
2022,13,Georgia,E666,186,Forest management (6(A)(iv))
2022,13,Georgia,E666,82336,Forest management (6(A)(iv))
2022,13,Georgia,E666,454,Forest management (6(A)(iv))
2022,13,Georgia,E666,168122,Forest management (6(A)(iv))
2022,13,Georgia,E666,22670,Forest management (6(A)(iv))
2022,13,Georgia,FARM,18948,2014 Other Practices
2022,13,Georgia,MINPAY,13072,2014 Other Practices
2022,13,Georgia,NIPF,1156566,NIPF
2022,13,Georgia,PAST,579535,Pastureland
2022,13,Georgia,PCROP,16245,Pastured Cropland
2022,15,Hawaii,327,11,Vegetative (6(A)(iii))
2022,15,Hawaii,340,18,Vegetative (6(A)(iii))
2022,15,Hawaii,449,18,Structural (6(A)(i))
2022,15,Hawaii,528,12058,Land Management (6(A)(ii))
2022,15,Hawaii,612,17,Forest management (6(A)(iv))
2022,15,Hawaii,645,1,Land Management (6(A)(ii))
2022,15,Hawaii,660,41,Forest management (6(A)(iv))
2022,15,Hawaii,AGLAND,8436,2014 Other Practices
2022,15,Hawaii,CROP,10386,Cropland
2022,15,Hawaii,E590,5473,Land Management (6(A)(ii))
2022,15,Hawaii,FARM,11253,2014 Other Practices
2022,15,Hawaii,PAST,10931,Pastureland
2022,15,Hawaii,RANGE,1415,Rangeland
2022,16,Idaho,315,24,Land Management (6(A)(ii))
2022,16,Idaho,340,1093,Vegetative (6(A)(iii))
2022,16,Idaho,345,751,Soil remediation (6(A)(vi))
2022,16,Idaho,412,596,Vegetative (6(A)(iii))
2022,16,Idaho,449,67,Structural (6(A)(i))
2022,16,Idaho,528,9,Land Management (6(A)(ii))
2022,16,Idaho,590,497,Land Management (6(A)(ii))
2022,16,Idaho,595,164,Other (6(A)(vii))
2022,16,Idaho,AGLAND,37161,2014 Other Practices
2022,16,Idaho,B000,32397,Bundles
2022,16,Idaho,CROP,920606,Cropland
2022,16,Idaho,E314,383,Land Management (6(A)(ii))
2022,16,Idaho,E315,106,Land Management (6(A)(ii))
2022,16,Idaho,E327,1404,Vegetative (6(A)(iii))
2022,16,Idaho,E328,176,Vegetative (6(A)(iii))
2022,16,Idaho,E328,11201,Vegetative (6(A)(iii))
2022,16,Idaho,E328,111,Vegetative (6(A)(iii))
2022,16,Idaho,E328,28479,Vegetative (6(A)(iii))
2022,16,Idaho,E340,475,Vegetative (6(A)(iii))
2022,16,Idaho,E345,182,Soil remediation (6(A)(vi))
2022,16,Idaho,E345,352,Soil remediation (6(A)(vi))
2022,16,Idaho,E449,16938,Structural (6(A)(i))
2022,16,Idaho,E511,10805,Forest management (6(A)(iv))
2022,16,Idaho,E528,32084,Land Management (6(A)(ii))
2022,16,Idaho,E528,1292,Land Management (6(A)(ii))
2022,16,Idaho,E528,971,Land Management (6(A)(ii))
2022,16,Idaho,E528,72,Land Management (6(A)(ii))
2022,16,Idaho,E528,2662,Land Management (6(A)(ii))
2022,16,Idaho,E528,340,Land Management (6(A)(ii))
2022,16,Idaho,E528,1011,Land Management (6(A)(ii))
2022,16,Idaho,E528,1879,Land Management (6(A)(ii))
2022,16,Idaho,E590,115347,Land Management (6(A)(ii))
2022,16,Idaho,E590,42862,Land Management (6(A)(ii))
2022,16,Idaho,E590,68941,Land Management (6(A)(ii))
2022,16,Idaho,E590,11139,Land Management (6(A)(ii))
2022,16,Idaho,E590,3468,Land Management (6(A)(ii))
2022,16,Idaho,E595,10527,Other (6(A)(vii))
2022,16,Idaho,E644,87,Land Management (6(A)(ii))
2022,16,Idaho,FARM,62167,2014 Other Practices
2022,16,Idaho,MINPAY,1210,2014 Other Practices
2022,16,Idaho,NIPF,2938,NIPF
2022,16,Idaho,PAST,84105,Pastureland
2022,16,Idaho,PCROP,4434,Pastured Cropland
2022,16,Idaho,RANGE,97705,Rangeland
2022,17,Illinois,314,617,Land Management (6(A)(ii))
2022,17,Illinois,315,104,Land Management (6(A)(ii))
2022,17,Illinois,327,23,Vegetative (6(A)(iii))
2022,17,Illinois,328,6976,Vegetative (6(A)(iii))
2022,17,Illinois,329,10539,Soil remediation (6(A)(vi))
2022,17,Illinois,338,423,Land Management (6(A)(ii))
2022,17,Illinois,340,135805,Vegetative (6(A)(iii))
2022,17,Illinois,345,713,Soil remediation (6(A)(vi))
2022,17,Illinois,512,3084,Vegetative (6(A)(iii))
2022,17,Illinois,528,101,Land Management (6(A)(ii))
2022,17,Illinois,590,3008,Land Management (6(A)(ii))
2022,17,Illinois,595,1555,Other (6(A)(vii))
2022,17,Illinois,612,184,Forest management (6(A)(iv))
2022,17,Illinois,647,4,Land Management (6(A)(ii))
2022,17,Illinois,660,20,Forest management (6(A)(iv))
2022,17,Illinois,666,3157,Forest management (6(A)(iv))
2022,17,Illinois,AGLAND,75724,2014 Other Practices
2022,17,Illinois,CROP,6930319,Cropland
2022,17,Illinois,E314,1142,Land Management (6(A)(ii))
2022,17,Illinois,E314,251,Land Management (6(A)(ii))
2022,17,Illinois,E315,91,Land Management (6(A)(ii))
2022,17,Illinois,E315,8233,Land Management (6(A)(ii))
2022,17,Illinois,E328,966,Vegetative (6(A)(iii))
2022,17,Illinois,E328,2326,Vegetative (6(A)(iii))
2022,17,Illinois,E328,28553,Vegetative (6(A)(iii))
2022,17,Illinois,E328,183,Vegetative (6(A)(iii))
2022,17,Illinois,E328,388,Vegetative (6(A)(iii))
2022,17,Illinois,E328,2691,Vegetative (6(A)(iii))
2022,17,Illinois,E328,44540,Vegetative (6(A)(iii))
2022,17,Illinois,E328,4960,Vegetative (6(A)(iii))
2022,17,Illinois,E329,10920,Soil remediation (6(A)(vi))
2022,17,Illinois,E329,26942,Soil remediation (6(A)(vi))
2022,17,Illinois,E329,58,Soil remediation (6(A)(vi))
2022,17,Illinois,E329,1034,Soil remediation (6(A)(vi))
2022,17,Illinois,E333,3448,Soil remediation (6(A)(vi))
2022,17,Illinois,E338,2140,Land Management (6(A)(ii))
