Pay_year,State,full_practice_code,practice_code,category_name,payments,practice_instance_count
2014,Alaska,612,612,Forest management (6(A)(iv)),380402,9
2014,Alaska,644,644,Land Management (6(A)(ii)),7697,6
2014,Alaska,645,645,Land Management (6(A)(ii)),,
2014,Alaska,647,647,Land Management (6(A)(ii)),,
2014,Alaska,660,660,Forest management (6(A)(iv)),,
2014,Alaska,666,666,Forest management (6(A)(iv)),2440078,89
2014,Alaska,734,734,Structural (6(A)(i)),11267,23
2014,Alaska,798,798,Structural (6(A)(i)),1947188,157
2014,Arizona,314,314,Land Management (6(A)(ii)),1152972,47
2014,Arizona,315,315,Land Management (6(A)(ii)),,
2014,Arizona,328,328,Vegetative (6(A)(iii),143,4
2014,Arizona,340,340,Vegetative (6(A)(iii),,
2014,Arizona,342,342,Vegetative (6(A)(iii),,
2014,Arizona,344,344,Soil remediation (6(A)(vi),1772,6
2014,Arizona,346,346,Soil remediation (6(A)(vi),,
2014,Arizona,362,362,Structural (6(A)(i)),19076,4
2014,Arizona,372,372,Structural (6(A)(i)),,
2014,Arizona,378,378,Structural (6(A)(i)),43677,6
2014,Arizona,382,382,Land Management (6(A)(ii)),437762,33
2014,Arizona,384,384,Forest management (6(A)(iv)),,
2014,Arizona,390,390,Vegetative (6(A)(iii),,
2014,Arizona,391,391,Forest management (6(A)(iv)),37615,4
2014,Arizona,410,410,Land Management (6(A)(ii)),,
2014,Arizona,428,428,Structural (6(A)(i)),298699,21
2014,Arizona,430,430,Structural (6(A)(i)),432558,24
2014,Arizona,436,436,Structural (6(A)(i)),,
2014,Arizona,441,441,Structural (6(A)(i)),127679,4
2014,Arizona,442,442,Structural (6(A)(i)),903816,15
2014,Arizona,449,449,Structural (6(A)(i)),16958,41
2014,Arizona,464,464,Land Management (6(A)(ii)),371998,16
2014,Arizona,500,500,Land Management (6(A)(ii)),,
2014,Arizona,516,516,Structural (6(A)(i)),532709,53
2014,Arizona,521A,521,Structural (6(A)(i)),16005,4
2014,Arizona,528,528,Land Management (6(A)(ii)),144472,25
2014,Arizona,533,533,Structural (6(A)(i)),205687,39
2014,Arizona,548,548,Land Management (6(A)(ii)),11747,5
2014,Arizona,550,550,Vegetative (6(A)(iii),,
2014,Arizona,580,580,Structural (6(A)(i)),,
2014,Arizona,587,587,Structural (6(A)(i)),524996,64
2014,Arizona,590,590,Land Management (6(A)(ii)),615,7
2014,Arizona,614,614,Structural (6(A)(i)),422684,95
2014,Arizona,636,636,Structural (6(A)(i)),192101,8
2014,Arizona,642,642,Structural (6(A)(i)),199849,20
2014,Arizona,643,643,Land Management (6(A)(ii)),46401,6
2014,Arizona,666,666,Forest management (6(A)(iv)),,
2014,Arizona,798,798,Structural (6(A)(i)),,
2014,Arkansas,106,106,other (6(B)(vi)),10888,5
2014,Arkansas,122,122,other (6(B)(vi)),12826,6
2014,Arkansas,154,154,other (6(B)(vi)),119434,34
2014,Arkansas,201,201,other (6(B)(vi)),184392,12
2014,Arkansas,202,202,other (6(B)(vi)),,
2014,Arkansas,309,309,Structural (6(A)(i)),,
2014,Arkansas,313,313,Structural (6(A)(i)),744776,80
2014,Arkansas,314,314,Land Management (6(A)(ii)),21332,26
2014,Arkansas,315,315,Land Management (6(A)(ii)),32988,30
2014,Arkansas,316,316,Structural (6(A)(i)),549880,53
2014,Arkansas,317,317,Structural (6(A)(i)),,
2014,Arkansas,324,324,Soil remediation (6(A)(vi),48072,28
2014,Arkansas,327,327,Vegetative (6(A)(iii),8722,14
2014,Arkansas,328,328,Vegetative (6(A)(iii),126177,108
2014,Arkansas,329,329,Soil remediation (6(A)(vi),23727,16
2014,Arkansas,338,338,Land Management (6(A)(ii)),358913,185
2014,Arkansas,340,340,Vegetative (6(A)(iii),1516422,214
2014,Arkansas,342,342,Vegetative (6(A)(iii),38617,93
2014,Arkansas,344,344,Soil remediation (6(A)(vi),67283,75
2014,Arkansas,345,345,Soil remediation (6(A)(vi),657924,177
2014,Arkansas,356,356,Structural (6(A)(i)),,
2014,Arkansas,360,360,Structural (6(A)(i)),53916,4
2014,Arkansas,362,362,Structural (6(A)(i)),12224,4
2014,Arkansas,367,367,Structural (6(A)(i)),1798494,109
2014,Arkansas,374,374,Other (6(A)(vii)),1552093,124
2014,Arkansas,378,378,Structural (6(A)(i)),489775,87
2014,Arkansas,381,381,Vegetative (6(A)(iii),82324,16
2014,Arkansas,382,382,Land Management (6(A)(ii)),1258016,406
2014,Arkansas,384,384,Forest management (6(A)(iv)),,
2014,Arkansas,386,386,Vegetative (6(A)(iii),,
2014,Arkansas,391,391,Forest management (6(A)(iv)),,
2014,Arkansas,393,393,Vegetative (6(A)(iii),1522,5
2014,Arkansas,394,394,Land Management (6(A)(ii)),1103496,166
2014,Arkansas,410,410,Land Management (6(A)(ii)),391326,177
2014,Arkansas,422,422,Vegetative (6(A)(iii),,
2014,Arkansas,430,430,Structural (6(A)(i)),5398961,314
2014,Arkansas,436,436,Structural (6(A)(i)),2000569,21
2014,Arkansas,441,441,Structural (6(A)(i)),348354,18
2014,Arkansas,442,442,Structural (6(A)(i)),27535,5
2014,Arkansas,443,443,Structural (6(A)(i)),49621,31
2014,Arkansas,447,447,Structural (6(A)(i)),,
2014,Arkansas,449,449,Structural (6(A)(i)),416105,467
2014,Arkansas,464,464,Land Management (6(A)(ii)),6597737,393
2014,Arkansas,484,484,Land Management (6(A)(ii)),36332,56
2014,Arkansas,490,490,Forest management (6(A)(iv)),617673,161
2014,Arkansas,512,512,Vegetative (6(A)(iii),1057087,213
2014,Arkansas,516,516,Structural (6(A)(i)),334314,206
2014,Arkansas,528,528,Land Management (6(A)(ii)),224924,93
2014,Arkansas,533,533,Structural (6(A)(i)),1723532,136
2014,Arkansas,558,558,Structural (6(A)(i)),,
2014,Arkansas,561,561,Land Management (6(A)(ii)),214160,270
2014,Arkansas,574,574,Other (6(A)(vii)),9744,6
2014,Arkansas,578,578,Structural (6(A)(i)),94642,20
2014,Arkansas,580,580,Structural (6(A)(i)),317754,11
2014,Arkansas,587,587,Structural (6(A)(i)),1211861,287
2014,Arkansas,590,590,Land Management (6(A)(ii)),887725,463
2014,Arkansas,591,591,Soil remediation (6(A)(vi),1050365,298
2014,Arkansas,595,595,Other (6(A)(vii)),117503,63
2014,Arkansas,608,608,Structural (6(A)(i)),57440,9
2014,Arkansas,612,612,Forest management (6(A)(iv)),306234,113
2014,Arkansas,614,614,Structural (6(A)(i)),262192,221
2014,Arkansas,620,620,Structural (6(A)(i)),,
2014,Arkansas,632,632,Structural (6(A)(i)),,
2014,Arkansas,634,634,Structural (6(A)(i)),75106,18
2014,Arkansas,642,642,Structural (6(A)(i)),103204,36
2014,Arkansas,644,644,Land Management (6(A)(ii)),,
2014,Arkansas,646,646,Land Management (6(A)(ii)),28736,23
2014,Arkansas,658,658,Structural (6(A)(i)),,
2014,Arkansas,666,666,Forest management (6(A)(iv)),271739,70
2014,Arkansas,717,717,Structural (6(A)(i)),,
2014,Arkansas,798,798,Structural (6(A)(i)),256150,37
2014,California,102,102,Comprehensive Nutrient Mgt. (6(B)(i)),757427,82
2014,California,104,104,Comprehensive Nutrient Mgt. (6(B)(i)),74960,38
2014,California,106,106,other (6(B)(vi)),37843,14
2014,California,122,122,other (6(B)(vi)),130765,57
2014,California,146,146,other (6(B)(vi)),,
2014,California,309,309,Structural (6(A)(i)),,
2014,California,313,313,Structural (6(A)(i)),3050937,48
2014,California,314,314,Land Management (6(A)(ii)),1560352,119
2014,California,315,315,Land Management (6(A)(ii)),720871,103
2014,California,324,324,Soil remediation (6(A)(vi),,
2014,California,327,327,Vegetative (6(A)(iii),49947,22
2014,California,328,328,Vegetative (6(A)(iii),347,6
2014,California,329,329,Soil remediation (6(A)(vi),14118,8
2014,California,340,340,Vegetative (6(A)(iii),232960,129
2014,California,342,342,Vegetative (6(A)(iii),26082,35
2014,California,344,344,Soil remediation (6(A)(vi),1876,6
2014,California,345,345,Soil remediation (6(A)(vi),,
2014,California,350,350,Structural (6(A)(i)),,
2014,California,362,362,Structural (6(A)(i)),,
2014,California,366,366,Structural (6(A)(i)),,
2014,California,367,367,Structural (6(A)(i)),,
2014,California,372,372,Structural (6(A)(i)),18775971,474
2014,California,373,373,Other (6(A)(vii)),,
2014,California,374,374,Other (6(A)(vii)),93510,6
2014,California,378,378,Structural (6(A)(i)),174551,9
2014,California,380,380,Vegetative (6(A)(iii),5144,7
2014,California,382,382,Land Management (6(A)(ii)),4106405,420
2014,California,383,383,Forest management (6(A)(iv)),1094579,36
2014,California,384,384,Forest management (6(A)(iv)),1158791,249
2014,California,386,386,Vegetative (6(A)(iii),,
2014,California,388,388,Structural (6(A)(i)),,
2014,California,390,390,Vegetative (6(A)(iii),21455,7
2014,California,391,391,Forest management (6(A)(iv)),155721,18
2014,California,394,394,Land Management (6(A)(ii)),11633,4
2014,California,395,395,Land Management (6(A)(ii)),249295,6
2014,California,410,410,Land Management (6(A)(ii)),66971,12
2014,California,422,422,Vegetative (6(A)(iii),103696,64
2014,California,428,428,Structural (6(A)(i)),184108,8
2014,California,430,430,Structural (6(A)(i)),6064622,319
2014,California,436,436,Structural (6(A)(i)),425238,31
2014,California,441,441,Structural (6(A)(i)),18426476,514
2014,California,442,442,Structural (6(A)(i)),2225174,71
2014,California,443,443,Structural (6(A)(i)),,
2014,California,449,449,Structural (6(A)(i)),943251,537
2014,California,464,464,Land Management (6(A)(ii)),555402,34
2014,California,466,466,Land Management (6(A)(ii)),16177,6
2014,California,468,468,Structural (6(A)(i)),58732,16
2014,California,472,472,Land Management (6(A)(ii)),37562,9
2014,California,484,484,Land Management (6(A)(ii)),419479,105
2014,California,490,490,Forest management (6(A)(iv)),186080,63
2014,California,500,500,Land Management (6(A)(ii)),24696,13
2014,California,511,511,Forest management (6(A)(iv)),150483,4
2014,California,512,512,Vegetative (6(A)(iii),63427,36
2014,California,516,516,Structural (6(A)(i)),2219774,825
2014,California,521A,521,Structural (6(A)(i)),110375,5
2014,California,521C,521,Structural (6(A)(i)),,
2014,California,521D,521,Structural (6(A)(i)),,
2014,California,528,528,Land Management (6(A)(ii)),61533,49
2014,California,533,533,Structural (6(A)(i)),1876149,514
2014,California,548,548,Land Management (6(A)(ii)),,
2014,California,550,550,Vegetative (6(A)(iii),101225,39
2014,California,558,558,Structural (6(A)(i)),6212,5
2014,California,560,560,Land Management (6(A)(ii)),490176,75
2014,California,561,561,Land Management (6(A)(ii)),21145,24
2014,California,574,574,Other (6(A)(vii)),96424,55
2014,California,575,575,Land Management (6(A)(ii)),53179,10
2014,California,578,578,Structural (6(A)(i)),511788,34
2014,California,580,580,Structural (6(A)(i)),198851,12
2014,California,582,582,Structural (6(A)(i)),,
2014,California,584,584,Structural (6(A)(i)),31593,4
2014,California,587,587,Structural (6(A)(i)),810292,241
2014,California,590,590,Land Management (6(A)(ii)),299931,123
2014,California,595,595,Other (6(A)(vii)),166885,11
2014,California,606,606,Structural (6(A)(i)),,
2014,California,607,607,Structural (6(A)(i)),,
2014,California,612,612,Forest management (6(A)(iv)),587000,86
2014,California,614,614,Structural (6(A)(i)),2822792,1226
2014,California,620,620,Structural (6(A)(i)),37478,26
2014,California,632,632,Structural (6(A)(i)),518217,8
2014,California,634,634,Structural (6(A)(i)),1850450,63
2014,California,636,636,Structural (6(A)(i)),,
2014,California,642,642,Structural (6(A)(i)),2985493,245
2014,California,643,643,Land Management (6(A)(ii)),252721,20
2014,California,644,644,Land Management (6(A)(ii)),176220,30
2014,California,645,645,Land Management (6(A)(ii)),26802,29
2014,California,654,654,Forest management (6(A)(iv)),,
2014,California,655,655,Forest management (6(A)(iv)),77738,13
2014,California,660,660,Forest management (6(A)(iv)),361470,150
2014,California,666,666,Forest management (6(A)(iv)),2440590,287
2014,California,670,670,Other (6(A)(vii)),28742,7
2014,California,672,672,Other (6(A)(vii)),,
2014,California,734,734,Structural (6(A)(i)),72719,69
2014,California,740,740,Structural (6(A)(i)),,
2014,California,756,756,Other (6(A)(vii)),68947,12
2014,California,798,798,Structural (6(A)(i)),334362,40
2014,Colorado,104,104,Comprehensive Nutrient Mgt. (6(B)(i)),,
2014,Colorado,106,106,other (6(B)(vi)),31897,11
2014,Colorado,124,124,other (6(B)(vi)),,
2014,Colorado,142,142,other (6(B)(vi)),,
2014,Colorado,314,314,Land Management (6(A)(ii)),1499487,94
2014,Colorado,315,315,Land Management (6(A)(ii)),13654,16
2014,Colorado,327,327,Vegetative (6(A)(iii),72496,13
2014,Colorado,328,328,Vegetative (6(A)(iii),93563,8
2014,Colorado,329,329,Soil remediation (6(A)(vi),76842,22
2014,Colorado,340,340,Vegetative (6(A)(iii),653845,89
2014,Colorado,342,342,Vegetative (6(A)(iii),23632,16
2014,Colorado,345,345,Soil remediation (6(A)(vi),80539,35
2014,Colorado,350,350,Structural (6(A)(i)),10015,4
2014,Colorado,351,351,Other (6(A)(vii)),,
2014,Colorado,356,356,Structural (6(A)(i)),12305,5
2014,Colorado,378,378,Structural (6(A)(i)),,
2014,Colorado,380,380,Vegetative (6(A)(iii),26873,19
2014,Colorado,382,382,Land Management (6(A)(ii)),984776,188
2014,Colorado,384,384,Forest management (6(A)(iv)),,
2014,Colorado,391,391,Forest management (6(A)(iv)),,
2014,Colorado,395,395,Land Management (6(A)(ii)),228354,18
2014,Colorado,428,428,Structural (6(A)(i)),63857,7
2014,Colorado,430,430,Structural (6(A)(i)),6009622,249
2014,Colorado,436,436,Structural (6(A)(i)),212271,31
2014,Colorado,441,441,Structural (6(A)(i)),773304,21
2014,Colorado,442,442,Structural (6(A)(i)),4790731,108
2014,Colorado,443,443,Structural (6(A)(i)),396922,86
2014,Colorado,449,449,Structural (6(A)(i)),147349,225
2014,Colorado,464,464,Land Management (6(A)(ii)),62092,11
2014,Colorado,484,484,Land Management (6(A)(ii)),115692,28
2014,Colorado,490,490,Forest management (6(A)(iv)),1337,12
2014,Colorado,500,500,Land Management (6(A)(ii)),,
2014,Colorado,512,512,Vegetative (6(A)(iii),66473,29
2014,Colorado,516,516,Structural (6(A)(i)),627032,106
2014,Colorado,521B,521,Structural (6(A)(i)),,
2014,Colorado,528,528,Land Management (6(A)(ii)),634434,89
2014,Colorado,533,533,Structural (6(A)(i)),588282,138
2014,Colorado,550,550,Vegetative (6(A)(iii),127007,11
2014,Colorado,574,574,Other (6(A)(vii)),16641,6
2014,Colorado,578,578,Structural (6(A)(i)),10735,4
2014,Colorado,580,580,Structural (6(A)(i)),263182,9
2014,Colorado,582,582,Structural (6(A)(i)),34559,6
2014,Colorado,584,584,Structural (6(A)(i)),,
2014,Colorado,587,587,Structural (6(A)(i)),1177150,266
2014,Colorado,590,590,Land Management (6(A)(ii)),24675,37
2014,Colorado,600,600,Structural (6(A)(i)),,
2014,Colorado,606,606,Structural (6(A)(i)),,
2014,Colorado,612,612,Forest management (6(A)(iv)),3605,6
2014,Colorado,614,614,Structural (6(A)(i)),598624,189
2014,Colorado,642,642,Structural (6(A)(i)),283356,56
2014,Colorado,643,643,Land Management (6(A)(ii)),41993,6
2014,Colorado,644,644,Land Management (6(A)(ii)),286,7
2014,Colorado,645,645,Land Management (6(A)(ii)),1047709,49
2014,Colorado,650,650,Land Management (6(A)(ii)),12999,4
2014,Colorado,666,666,Forest management (6(A)(iv)),,
2014,Colorado,798,798,Structural (6(A)(i)),72194,13
2014,Connecticut,102,102,Comprehensive Nutrient Mgt. (6(B)(i)),,
2014,Connecticut,106,106,other (6(B)(vi)),45301,45
2014,Connecticut,110,110,Resource-conserving crop rotatation (6(B)(ii),,
2014,Connecticut,122,122,other (6(B)(vi)),16537,8
2014,Connecticut,313,313,Structural (6(A)(i)),,
2014,Connecticut,314,314,Land Management (6(A)(ii)),297994,72
2014,Connecticut,315,315,Land Management (6(A)(ii)),12656,6
2014,Connecticut,327,327,Vegetative (6(A)(iii),,
2014,Connecticut,328,328,Vegetative (6(A)(iii),,
2014,Connecticut,329,329,Soil remediation (6(A)(vi),,
2014,Connecticut,340,340,Vegetative (6(A)(iii),83560,10
2014,Connecticut,342,342,Vegetative (6(A)(iii),1475,6
2014,Connecticut,355,355,Other (6(A)(vii)),,
2014,Connecticut,360,360,Structural (6(A)(i)),,
2014,Connecticut,362,362,Structural (6(A)(i)),,
2014,Connecticut,367,367,Structural (6(A)(i)),,
2014,Connecticut,372,372,Structural (6(A)(i)),,
2014,Connecticut,374,374,Other (6(A)(vii)),525427,24
2014,Connecticut,382,382,Land Management (6(A)(ii)),60717,22
2014,Connecticut,384,384,Forest management (6(A)(iv)),,
2014,Connecticut,410,410,Land Management (6(A)(ii)),,
2014,Connecticut,412,412,Vegetative (6(A)(iii),,
2014,Connecticut,430,430,Structural (6(A)(i)),,
2014,Connecticut,436,436,Structural (6(A)(i)),,
2014,Connecticut,441,441,Structural (6(A)(i)),,
2014,Connecticut,443,443,Structural (6(A)(i)),,
2014,Connecticut,460,460,Land Management (6(A)(ii)),,
2014,Connecticut,468,468,Structural (6(A)(i)),,
2014,Connecticut,472,472,Land Management (6(A)(ii)),5331,6
2014,Connecticut,484,484,Land Management (6(A)(ii)),495,4
2014,Connecticut,500,500,Land Management (6(A)(ii)),,
2014,Connecticut,511,511,Forest management (6(A)(iv)),,
2014,Connecticut,512,512,Vegetative (6(A)(iii),55944,24
2014,Connecticut,516,516,Structural (6(A)(i)),12059,10
2014,Connecticut,528,528,Land Management (6(A)(ii)),7760,21
2014,Connecticut,533,533,Structural (6(A)(i)),10056,5
2014,Connecticut,558,558,Structural (6(A)(i)),,
2014,Connecticut,560,560,Land Management (6(A)(ii)),119220,19
2014,Connecticut,561,561,Land Management (6(A)(ii)),54752,14
2014,Connecticut,578,578,Structural (6(A)(i)),,
2014,Connecticut,587,587,Structural (6(A)(i)),4735,5
2014,Connecticut,606,606,Structural (6(A)(i)),6018,4
2014,Connecticut,612,612,Forest management (6(A)(iv)),3625,6
2014,Connecticut,614,614,Structural (6(A)(i)),11189,14
2014,Connecticut,620,620,Structural (6(A)(i)),,
2014,Connecticut,633,633,Structural (6(A)(i)),,
2014,Connecticut,638,638,Structural (6(A)(i)),,
2014,Connecticut,642,642,Structural (6(A)(i)),17575,4
2014,Connecticut,644,644,Land Management (6(A)(ii)),14744,6
2014,Connecticut,645,645,Land Management (6(A)(ii)),63722,36
2014,Connecticut,647,647,Land Management (6(A)(ii)),246181,38
2014,Connecticut,654,654,Forest management (6(A)(iv)),,
2014,Connecticut,655,655,Forest management (6(A)(iv)),,
2014,Connecticut,666,666,Forest management (6(A)(iv)),152492,29
2014,Connecticut,670,670,Other (6(A)(vii)),,
2014,Connecticut,672,672,Other (6(A)(vii)),273482,14
2014,Connecticut,798,798,Structural (6(A)(i)),688842,61
2014,Delaware,118,118,other (6(B)(vi)),158966,15
2014,Delaware,122,122,other (6(B)(vi)),96641,48
2014,Delaware,309,309,Structural (6(A)(i)),,
2014,Delaware,313,313,Structural (6(A)(i)),559605,25
2014,Delaware,314,314,Land Management (6(A)(ii)),,
2014,Delaware,316,316,Structural (6(A)(i)),49809,23
2014,Delaware,327,327,Vegetative (6(A)(iii),,
2014,Delaware,329,329,Soil remediation (6(A)(vi),24974,16
2014,Delaware,340,340,Vegetative (6(A)(iii),370369,32
2014,Delaware,342,342,Vegetative (6(A)(iii),1830,5
2014,Delaware,345,345,Soil remediation (6(A)(vi),106771,20
2014,Delaware,355,355,Other (6(A)(vii)),350,4
2014,Delaware,360,360,Structural (6(A)(i)),,
2014,Delaware,367,367,Structural (6(A)(i)),951374,45
2014,Delaware,372,372,Structural (6(A)(i)),63113,4
2014,Delaware,374,374,Other (6(A)(vii)),982195,199
2014,Delaware,378,378,Structural (6(A)(i)),,
2014,Delaware,380,380,Vegetative (6(A)(iii),,
2014,Delaware,386,386,Vegetative (6(A)(iii),,
2014,Delaware,410,410,Land Management (6(A)(ii)),,
2014,Delaware,412,412,Vegetative (6(A)(iii),,
2014,Delaware,422,422,Vegetative (6(A)(iii),36280,22
2014,Delaware,430,430,Structural (6(A)(i)),,
2014,Delaware,442,442,Structural (6(A)(i)),501870,13
2014,Delaware,449,449,Structural (6(A)(i)),25277,27
2014,Delaware,468,468,Structural (6(A)(i)),,
2014,Delaware,472,472,Land Management (6(A)(ii)),7602,4
2014,Delaware,484,484,Land Management (6(A)(ii)),4376,18
2014,Delaware,500,500,Land Management (6(A)(ii)),,
2014,Delaware,511,511,Forest management (6(A)(iv)),,
2014,Delaware,512,512,Vegetative (6(A)(iii),22275,6
2014,Delaware,516,516,Structural (6(A)(i)),,
2014,Delaware,533,533,Structural (6(A)(i)),22620,7
2014,Delaware,558,558,Structural (6(A)(i)),6486,4
2014,Delaware,560,560,Land Management (6(A)(ii)),,
2014,Delaware,561,561,Land Management (6(A)(ii)),1030503,202
2014,Delaware,580,580,Structural (6(A)(i)),,
2014,Delaware,587,587,Structural (6(A)(i)),,
2014,Delaware,590,590,Land Management (6(A)(ii)),121202,22
2014,Delaware,591,591,Soil remediation (6(A)(vi),216881,42
2014,Delaware,595,595,Other (6(A)(vii)),,
2014,Delaware,606,606,Structural (6(A)(i)),,
2014,Delaware,614,614,Structural (6(A)(i)),5497,4
2014,Delaware,620,620,Structural (6(A)(i)),,
2014,Delaware,629,629,Structural (6(A)(i)),67782,27
2014,Delaware,642,642,Structural (6(A)(i)),12404,7
2014,Delaware,644,644,Land Management (6(A)(ii)),12948,4
2014,Delaware,645,645,Land Management (6(A)(ii)),,
2014,Delaware,650,650,Land Management (6(A)(ii)),,
2014,Delaware,666,666,Forest management (6(A)(iv)),,
2014,Delaware,798,798,Structural (6(A)(i)),59930,9
2014,Florida,122,122,other (6(B)(vi)),8271,4
2014,Florida,314,314,Land Management (6(A)(ii)),1315593,146
2014,Florida,315,315,Land Management (6(A)(ii)),399380,104
2014,Florida,327,327,Vegetative (6(A)(iii),,
2014,Florida,328,328,Vegetative (6(A)(iii),,
2014,Florida,329,329,Soil remediation (6(A)(vi),32656,10
2014,Florida,338,338,Land Management (6(A)(ii)),740773,226
2014,Florida,340,340,Vegetative (6(A)(iii),205824,13
2014,Florida,342,342,Vegetative (6(A)(iii),9649,28
2014,Florida,345,345,Soil remediation (6(A)(vi),29660,16
2014,Florida,351,351,Other (6(A)(vii)),5744,6
2014,Florida,356,356,Structural (6(A)(i)),,
2014,Florida,362,362,Structural (6(A)(i)),,
2014,Florida,372,372,Structural (6(A)(i)),,
2014,Florida,378,378,Structural (6(A)(i)),,
2014,Florida,381,381,Vegetative (6(A)(iii),,
2014,Florida,382,382,Land Management (6(A)(ii)),,
2014,Florida,386,386,Vegetative (6(A)(iii),,
2014,Florida,394,394,Land Management (6(A)(ii)),125460,138
2014,Florida,410,410,Land Management (6(A)(ii)),24751,5
2014,Florida,412,412,Vegetative (6(A)(iii),,
2014,Florida,422,422,Vegetative (6(A)(iii),,
2014,Florida,430,430,Structural (6(A)(i)),249360,17
2014,Florida,436,436,Structural (6(A)(i)),,
2014,Florida,441,441,Structural (6(A)(i)),712419,13
2014,Florida,442,442,Structural (6(A)(i)),1098800,28
2014,Florida,443,443,Structural (6(A)(i)),337063,5
2014,Florida,449,449,Structural (6(A)(i)),27337,30
2014,Florida,460,460,Land Management (6(A)(ii)),,
2014,Florida,464,464,Land Management (6(A)(ii)),96076,14
2014,Florida,466,466,Land Management (6(A)(ii)),1984,8
2014,Florida,468,468,Structural (6(A)(i)),31318,11
2014,Florida,484,484,Land Management (6(A)(ii)),16832,24
2014,Florida,490,490,Forest management (6(A)(iv)),402824,93
2014,Florida,512,512,Vegetative (6(A)(iii),377225,112
2014,Florida,516,516,Structural (6(A)(i)),244592,117
2014,Florida,528,528,Land Management (6(A)(ii)),98636,22
2014,Florida,533,533,Structural (6(A)(i)),238888,79
2014,Florida,558,558,Structural (6(A)(i)),,
2014,Florida,560,560,Land Management (6(A)(ii)),,
2014,Florida,561,561,Land Management (6(A)(ii)),100074,47
2014,Florida,578,578,Structural (6(A)(i)),48727,9
