Pay_year,state_code,State,category_code,category_name,payments
2018,2,Alaska,10 Forest management,Forest management,2079772.68
2018,2,Alaska,12 Soil remediation,Soil remediation,9772.63
2018,2,Alaska,13 Other 2 - improvement,Other 2 - improvement,4636.96
2018,2,Alaska,7 Structural,Structural,1740778.01
2018,2,Alaska,8 Land management,Land management,2782380.49
2018,2,Alaska,9 Vegetative,Vegetative,145844.62
2019,2,Alaska,10 Forest management,Forest management,3393162.67
2019,2,Alaska,12 Soil remediation,Soil remediation,9772.63
2019,2,Alaska,13 Other 2 - improvement,Other 2 - improvement,8851.23
2019,2,Alaska,6 Other 1 - planning,Other 1 - planning,6027.41
2019,2,Alaska,7 Structural,Structural,1179433.29
2019,2,Alaska,8 Land management,Land management,1120408.41
2019,2,Alaska,9 Vegetative,Vegetative,135471.81
2020,2,Alaska,10 Forest management,Forest management,2582432.32
2020,2,Alaska,12 Soil remediation,Soil remediation,8472.98
2020,2,Alaska,13 Other 2 - improvement,Other 2 - improvement,1534.58
2020,2,Alaska,7 Structural,Structural,894491.41
2020,2,Alaska,8 Land management,Land management,3879153.64
2020,2,Alaska,9 Vegetative,Vegetative,129128.84
2021,2,Alaska,10 Forest management,Forest management,2770172.14
2021,2,Alaska,13 Other 2 - improvement,Other 2 - improvement,4057.69
2021,2,Alaska,6 Other 1 - planning,Other 1 - planning,8999.49
2021,2,Alaska,7 Structural,Structural,831848.03
2021,2,Alaska,8 Land management,Land management,5415062.51
2021,2,Alaska,9 Vegetative,Vegetative,165300.61
2022,2,Alaska,10 Forest Management,Forest Management,5474317.00
2022,2,Alaska,13 Other 2 - improvement,Other 2 - improvement,2391.00
2022,2,Alaska,7 Structural,Structural,379293.00
2022,2,Alaska,8 Land Management,Land Management,2484959.00
2022,2,Alaska,9 Vegetative,Vegetative,108722.00
2022,2,American Samoa,7 Structural,Structural,206636.00
2017,4,Arizona,10 Forest management,Forest management,599103.81
2017,4,Arizona,12 Soil remediation,Soil remediation,7023.05
2017,4,Arizona,13 Other 2 - improvement,Other 2 - improvement,25612.86
2017,4,Arizona,6 Other 1 - planning,Other 1 - planning,5913.60
2017,4,Arizona,7 Structural,Structural,5725963.34
2017,4,Arizona,8 Land management,Land management,4651582.80
2017,4,Arizona,9 Vegetative,Vegetative,17793.20
2018,4,Arizona,10 Forest management,Forest management,1109537.35
2018,4,Arizona,12 Soil remediation,Soil remediation,5367.30
2018,4,Arizona,13 Other 2 - improvement,Other 2 - improvement,69172.40
2018,4,Arizona,7 Structural,Structural,6295282.57
2018,4,Arizona,8 Land management,Land management,4824637.58
2018,4,Arizona,9 Vegetative,Vegetative,34188.56
2019,4,Arizona,10 Forest management,Forest management,978948.85
2019,4,Arizona,12 Soil remediation,Soil remediation,4471.55
2019,4,Arizona,13 Other 2 - improvement,Other 2 - improvement,106980.89
2019,4,Arizona,7 Structural,Structural,5252866.71
2019,4,Arizona,8 Land management,Land management,5068183.75
2019,4,Arizona,9 Vegetative,Vegetative,41380.35
2020,4,Arizona,10 Forest management,Forest management,2002363.35
2020,4,Arizona,12 Soil remediation,Soil remediation,4413.53
2020,4,Arizona,13 Other 2 - improvement,Other 2 - improvement,214570.14
2020,4,Arizona,7 Structural,Structural,5542621.11
2020,4,Arizona,8 Land management,Land management,4473791.37
2020,4,Arizona,9 Vegetative,Vegetative,15846.80
2021,4,Arizona,10 Forest management,Forest management,2252165.03
2021,4,Arizona,12 Soil remediation,Soil remediation,6309.35
2021,4,Arizona,13 Other 2 - improvement,Other 2 - improvement,295521.26
2021,4,Arizona,6 Other 1 - planning,Other 1 - planning,1803.12
2021,4,Arizona,7 Structural,Structural,4899356.66
2021,4,Arizona,8 Land management,Land management,2490891.67
2021,4,Arizona,9 Vegetative,Vegetative,34815.40
2022,4,Arizona,10 Forest Management,Forest Management,797487.00
2022,4,Arizona,7 Structural,Structural,4180428.00
2022,4,Arizona,8 Land Management,Land Management,3321636.00
2022,4,Arizona,9 Vegetative,Vegetative,17095.00
2017,5,Arkansas,10 Forest management,Forest management,1176372.90
2017,5,Arkansas,12 Soil remediation,Soil remediation,1450863.43
2017,5,Arkansas,13 Other 2 - improvement,Other 2 - improvement,1773229.42
2017,5,Arkansas,6 Other 1 - planning,Other 1 - planning,331393.24
2017,5,Arkansas,7 Structural,Structural,20990664.28
2017,5,Arkansas,8 Land management,Land management,10634021.86
2017,5,Arkansas,9 Vegetative,Vegetative,3350725.48
2018,5,Arkansas,10 Forest management,Forest management,1542040.57
2018,5,Arkansas,12 Soil remediation,Soil remediation,1610751.89
2018,5,Arkansas,13 Other 2 - improvement,Other 2 - improvement,2436966.98
2018,5,Arkansas,6 Other 1 - planning,Other 1 - planning,306475.56
2018,5,Arkansas,7 Structural,Structural,20950376.02
2018,5,Arkansas,8 Land management,Land management,10214365.44
2018,5,Arkansas,9 Vegetative,Vegetative,2935794.08
2019,5,Arkansas,10 Forest management,Forest management,1348268.08
2019,5,Arkansas,12 Soil remediation,Soil remediation,898915.79
2019,5,Arkansas,13 Other 2 - improvement,Other 2 - improvement,2643600.98
2019,5,Arkansas,6 Other 1 - planning,Other 1 - planning,244204.11
2019,5,Arkansas,7 Structural,Structural,14629068.38
2019,5,Arkansas,8 Land management,Land management,7691228.63
2019,5,Arkansas,9 Vegetative,Vegetative,2452358.48
2020,5,Arkansas,10 Forest management,Forest management,1553293.19
2020,5,Arkansas,12 Soil remediation,Soil remediation,700275.41
2020,5,Arkansas,13 Other 2 - improvement,Other 2 - improvement,2169510.64
2020,5,Arkansas,6 Other 1 - planning,Other 1 - planning,184584.76
2020,5,Arkansas,7 Structural,Structural,14424512.47
2020,5,Arkansas,8 Land management,Land management,8703194.34
2020,5,Arkansas,9 Vegetative,Vegetative,2928345.35
2021,5,Arkansas,10 Forest management,Forest management,1309165.59
2021,5,Arkansas,12 Soil remediation,Soil remediation,342929.86
2021,5,Arkansas,13 Other 2 - improvement,Other 2 - improvement,2248761.30
2021,5,Arkansas,6 Other 1 - planning,Other 1 - planning,258486.04
2021,5,Arkansas,7 Structural,Structural,14823214.70
2021,5,Arkansas,8 Land management,Land management,8640969.48
2021,5,Arkansas,9 Vegetative,Vegetative,3197079.58
2022,5,Arkansas,10 Forest Management,Forest Management,2064126.00
2022,5,Arkansas,12 Soil Remediation,Soil Remediation,555643.00
2022,5,Arkansas,13 Other 2 - improvement,Other 2 - improvement,2697732.00
2022,5,Arkansas,6 Other 1 - planning,Other 1 - planning,98646.00
2022,5,Arkansas,7 Structural,Structural,17556856.00
2022,5,Arkansas,8 Land Management,Land Management,9711978.00
2022,5,Arkansas,9 Vegetative,Vegetative,3216734.00
2017,6,California,1 Comprehensive Nutrient Mgt.,Comprehensive Nutrient Mgt.,98757.25
2017,6,California,10 Forest management,Forest management,8180925.52
2017,6,California,12 Soil remediation,Soil remediation,163362.85
2017,6,California,13 Other 2 - improvement,Other 2 - improvement,1286842.02
2017,6,California,4 Conservating planning assessment,Conservating planning assessment,362137.64
2017,6,California,6 Other 1 - planning,Other 1 - planning,80310.18
2017,6,California,7 Structural,Structural,61896624.43
2017,6,California,8 Land management,Land management,7822169.92
2017,6,California,9 Vegetative,Vegetative,635487.53
2018,6,California,1 Comprehensive Nutrient Mgt.,Comprehensive Nutrient Mgt.,42503.38
2018,6,California,10 Forest management,Forest management,10114216.68
2018,6,California,12 Soil remediation,Soil remediation,384748.64
2018,6,California,13 Other 2 - improvement,Other 2 - improvement,2194314.90
2018,6,California,4 Conservating planning assessment,Conservating planning assessment,292766.62
2018,6,California,6 Other 1 - planning,Other 1 - planning,64420.85
2018,6,California,7 Structural,Structural,68768191.71
2018,6,California,8 Land management,Land management,7863469.23
2018,6,California,9 Vegetative,Vegetative,585954.95
2019,6,California,1 Comprehensive Nutrient Mgt.,Comprehensive Nutrient Mgt.,10238.40
2019,6,California,10 Forest management,Forest management,9296554.34
2019,6,California,12 Soil remediation,Soil remediation,73962.59
2019,6,California,13 Other 2 - improvement,Other 2 - improvement,1414313.18
2019,6,California,4 Conservating planning assessment,Conservating planning assessment,213153.18
2019,6,California,6 Other 1 - planning,Other 1 - planning,43089.56
2019,6,California,7 Structural,Structural,56734569.06
2019,6,California,8 Land management,Land management,8096946.13
2019,6,California,9 Vegetative,Vegetative,784531.96
2020,6,California,1 Comprehensive Nutrient Mgt.,Comprehensive Nutrient Mgt.,2119.53
2020,6,California,10 Forest management,Forest management,9971277.16
2020,6,California,12 Soil remediation,Soil remediation,33844.79
2020,6,California,13 Other 2 - improvement,Other 2 - improvement,1563416.98
2020,6,California,2 Resource-conserving crop rotatation,Resource-conserving crop rotatation,535.77
2020,6,California,4 Conservating planning assessment,Conservating planning assessment,147817.29
2020,6,California,6 Other 1 - planning,Other 1 - planning,12267.73
2020,6,California,7 Structural,Structural,53999846.54
2020,6,California,8 Land management,Land management,8165862.27
2020,6,California,9 Vegetative,Vegetative,573198.74
2021,6,California,1 Comprehensive Nutrient Mgt.,Comprehensive Nutrient Mgt.,2155.45
2021,6,California,10 Forest management,Forest management,8257780.03
2021,6,California,12 Soil remediation,Soil remediation,26073.13
2021,6,California,13 Other 2 - improvement,Other 2 - improvement,1761360.96
2021,6,California,2 Resource-conserving crop rotatation,Resource-conserving crop rotatation,544.85
2021,6,California,4 Conservating planning assessment,Conservating planning assessment,322544.37
2021,6,California,6 Other 1 - planning,Other 1 - planning,54641.07
2021,6,California,7 Structural,Structural,56862033.70
2021,6,California,8 Land management,Land management,6480926.50
2021,6,California,9 Vegetative,Vegetative,533544.88
2022,6,California,1 Comprehensive Nutrient Mgt.,Comprehensive Nutrient Mgt.,160529.00
2022,6,California,10 Forest Management,Forest Management,8515944.00
2022,6,California,13 Other 2 - improvement,Other 2 - improvement,1299111.00
2022,6,California,6 Other 1 - planning,Other 1 - planning,31903.00
2022,6,California,7 Structural,Structural,53195950.00
2022,6,California,8 Land Management,Land Management,8004367.00
2022,6,California,9 Vegetative,Vegetative,623169.00
2017,8,Colorado,10 Forest management,Forest management,2224142.40
2017,8,Colorado,12 Soil remediation,Soil remediation,117356.46
2017,8,Colorado,13 Other 2 - improvement,Other 2 - improvement,248680.64
2017,8,Colorado,6 Other 1 - planning,Other 1 - planning,39325.76
2017,8,Colorado,7 Structural,Structural,16159609.94
2017,8,Colorado,8 Land management,Land management,2130700.92
2017,8,Colorado,9 Vegetative,Vegetative,875625.91
2018,8,Colorado,10 Forest management,Forest management,2645260.02
2018,8,Colorado,12 Soil remediation,Soil remediation,79061.06
2018,8,Colorado,13 Other 2 - improvement,Other 2 - improvement,303169.54
2018,8,Colorado,4 Conservating planning assessment,Conservating planning assessment,8929.78
2018,8,Colorado,6 Other 1 - planning,Other 1 - planning,22435.53
2018,8,Colorado,7 Structural,Structural,20477529.31
2018,8,Colorado,8 Land management,Land management,3280484.78
2018,8,Colorado,9 Vegetative,Vegetative,1735912.60
2019,8,Colorado,10 Forest management,Forest management,3068606.83
2019,8,Colorado,12 Soil remediation,Soil remediation,59884.46
2019,8,Colorado,13 Other 2 - improvement,Other 2 - improvement,507363.80
2019,8,Colorado,6 Other 1 - planning,Other 1 - planning,29966.90
2019,8,Colorado,7 Structural,Structural,17962860.23
2019,8,Colorado,8 Land management,Land management,2267046.69
2019,8,Colorado,9 Vegetative,Vegetative,1658596.27
2020,8,Colorado,10 Forest management,Forest management,5535050.87
2020,8,Colorado,12 Soil remediation,Soil remediation,221144.42
2020,8,Colorado,13 Other 2 - improvement,Other 2 - improvement,555794.32
2020,8,Colorado,4 Conservating planning assessment,Conservating planning assessment,7127.80
2020,8,Colorado,6 Other 1 - planning,Other 1 - planning,59823.49
2020,8,Colorado,7 Structural,Structural,21402789.23
2020,8,Colorado,8 Land management,Land management,2679342.24
2020,8,Colorado,9 Vegetative,Vegetative,2324145.71
2021,8,Colorado,10 Forest management,Forest management,5191618.32
2021,8,Colorado,12 Soil remediation,Soil remediation,160772.98
2021,8,Colorado,13 Other 2 - improvement,Other 2 - improvement,637569.83
2021,8,Colorado,6 Other 1 - planning,Other 1 - planning,35213.45
2021,8,Colorado,7 Structural,Structural,17599501.78
2021,8,Colorado,8 Land management,Land management,1911584.87
2021,8,Colorado,9 Vegetative,Vegetative,2692540.26
2022,8,Colorado,10 Forest Management,Forest Management,4933484.00
2022,8,Colorado,12 Soil Remediation,Soil Remediation,271924.00
2022,8,Colorado,13 Other 2 - improvement,Other 2 - improvement,419186.00
2022,8,Colorado,7 Structural,Structural,15034792.00
2022,8,Colorado,8 Land Management,Land Management,2866416.00
2022,8,Colorado,9 Vegetative,Vegetative,4152087.00
2017,9,Connecticut,10 Forest management,Forest management,267281.48
2017,9,Connecticut,12 Soil remediation,Soil remediation,2286.96
2017,9,Connecticut,13 Other 2 - improvement,Other 2 - improvement,471151.00
2017,9,Connecticut,2 Resource-conserving crop rotatation,Resource-conserving crop rotatation,1669.37
2017,9,Connecticut,4 Conservating planning assessment,Conservating planning assessment,68836.24
2017,9,Connecticut,6 Other 1 - planning,Other 1 - planning,96434.16
2017,9,Connecticut,7 Structural,Structural,1769694.70
2017,9,Connecticut,8 Land management,Land management,907643.90
2017,9,Connecticut,9 Vegetative,Vegetative,205707.81
2018,9,Connecticut,10 Forest management,Forest management,254322.59
2018,9,Connecticut,12 Soil remediation,Soil remediation,199.63
2018,9,Connecticut,13 Other 2 - improvement,Other 2 - improvement,391683.87
2018,9,Connecticut,4 Conservating planning assessment,Conservating planning assessment,55160.42
2018,9,Connecticut,6 Other 1 - planning,Other 1 - planning,49782.16
2018,9,Connecticut,7 Structural,Structural,833020.24
2018,9,Connecticut,8 Land management,Land management,694698.96
2018,9,Connecticut,9 Vegetative,Vegetative,197600.36
2019,9,Connecticut,10 Forest management,Forest management,295467.12
2019,9,Connecticut,13 Other 2 - improvement,Other 2 - improvement,410195.94
2019,9,Connecticut,4 Conservating planning assessment,Conservating planning assessment,33944.25
2019,9,Connecticut,6 Other 1 - planning,Other 1 - planning,46480.08
2019,9,Connecticut,7 Structural,Structural,2131355.08
2019,9,Connecticut,8 Land management,Land management,707855.94
2019,9,Connecticut,9 Vegetative,Vegetative,125330.64
2020,9,Connecticut,10 Forest management,Forest management,443777.51
2020,9,Connecticut,13 Other 2 - improvement,Other 2 - improvement,309775.59
2020,9,Connecticut,4 Conservating planning assessment,Conservating planning assessment,15641.38
2020,9,Connecticut,6 Other 1 - planning,Other 1 - planning,38592.70
2020,9,Connecticut,7 Structural,Structural,1273658.24
2020,9,Connecticut,8 Land management,Land management,599324.18
2020,9,Connecticut,9 Vegetative,Vegetative,191442.35
2021,9,Connecticut,10 Forest management,Forest management,337620.19
2021,9,Connecticut,12 Soil remediation,Soil remediation,20198.75
2021,9,Connecticut,13 Other 2 - improvement,Other 2 - improvement,425580.39
2021,9,Connecticut,4 Conservating planning assessment,Conservating planning assessment,12213.43
2021,9,Connecticut,6 Other 1 - planning,Other 1 - planning,32705.68
2021,9,Connecticut,7 Structural,Structural,2005896.35
2021,9,Connecticut,8 Land management,Land management,891669.88
2021,9,Connecticut,9 Vegetative,Vegetative,150567.29
2022,9,Connecticut,10 Forest Management,Forest Management,310521.00
2022,9,Connecticut,13 Other 2 - improvement,Other 2 - improvement,230287.00
2022,9,Connecticut,6 Other 1 - planning,Other 1 - planning,29067.00
2022,9,Connecticut,7 Structural,Structural,2221060.00
2022,9,Connecticut,8 Land Management,Land Management,549949.00
2022,9,Connecticut,9 Vegetative,Vegetative,113344.00
2017,10,Delaware,1 Comprehensive Nutrient Mgt.,Comprehensive Nutrient Mgt.,1740.99
2017,10,Delaware,10 Forest management,Forest management,37320.04
2017,10,Delaware,12 Soil remediation,Soil remediation,270365.72
2017,10,Delaware,13 Other 2 - improvement,Other 2 - improvement,356854.38
2017,10,Delaware,6 Other 1 - planning,Other 1 - planning,158568.01
2017,10,Delaware,7 Structural,Structural,3846987.06
2017,10,Delaware,8 Land management,Land management,1569417.12
2017,10,Delaware,9 Vegetative,Vegetative,1344780.45
2018,10,Delaware,10 Forest management,Forest management,61244.04
2018,10,Delaware,12 Soil remediation,Soil remediation,271402.85
2018,10,Delaware,13 Other 2 - improvement,Other 2 - improvement,383563.81
2018,10,Delaware,6 Other 1 - planning,Other 1 - planning,166787.56
2018,10,Delaware,7 Structural,Structural,3979138.94
2018,10,Delaware,8 Land management,Land management,1579810.12
2018,10,Delaware,9 Vegetative,Vegetative,1278384.80
2019,10,Delaware,10 Forest management,Forest management,17763.70
2019,10,Delaware,12 Soil remediation,Soil remediation,233752.74
2019,10,Delaware,13 Other 2 - improvement,Other 2 - improvement,354201.08
2019,10,Delaware,6 Other 1 - planning,Other 1 - planning,88921.21
2019,10,Delaware,7 Structural,Structural,2718099.02
2019,10,Delaware,8 Land management,Land management,1471451.10
2019,10,Delaware,9 Vegetative,Vegetative,1685654.89
2020,10,Delaware,10 Forest management,Forest management,13261.66
2020,10,Delaware,12 Soil remediation,Soil remediation,168127.72
2020,10,Delaware,13 Other 2 - improvement,Other 2 - improvement,232990.19
2020,10,Delaware,6 Other 1 - planning,Other 1 - planning,159950.46
2020,10,Delaware,7 Structural,Structural,2410824.49
2020,10,Delaware,8 Land management,Land management,920032.76
2020,10,Delaware,9 Vegetative,Vegetative,1253586.59
2021,10,Delaware,10 Forest management,Forest management,64755.56
2021,10,Delaware,12 Soil remediation,Soil remediation,183575.54
2021,10,Delaware,13 Other 2 - improvement,Other 2 - improvement,282971.03
2021,10,Delaware,6 Other 1 - planning,Other 1 - planning,65445.98
2021,10,Delaware,7 Structural,Structural,3151560.27
2021,10,Delaware,8 Land management,Land management,1276984.11
2021,10,Delaware,9 Vegetative,Vegetative,543995.05
2022,,Delaware,12 Soil Remediation,Soil Remediation,104673.00
2022,,Delaware,13 Other 2 - improvement,Other 2 - improvement,293260.00
2022,,Delaware,4 Conservating planning assessment,Conservating planning assessment,136150.00
2022,,Delaware,7 Structural,Structural,4579778.00
2022,,Delaware,8 Land Management,Land Management,1762163.00
2022,,Delaware,9 Vegetative,Vegetative,410849.00
2017,12,Florida,10 Forest management,Forest management,1846969.10
2017,12,Florida,12 Soil remediation,Soil remediation,74794.70
2017,12,Florida,13 Other 2 - improvement,Other 2 - improvement,778109.00
2017,12,Florida,4 Conservating planning assessment,Conservating planning assessment,19055.16
2017,12,Florida,6 Other 1 - planning,Other 1 - planning,14600.61
2017,12,Florida,7 Structural,Structural,4253162.13
2017,12,Florida,8 Land management,Land management,3945689.07
2017,12,Florida,9 Vegetative,Vegetative,1302988.30
2018,12,Florida,10 Forest management,Forest management,1799905.32
2018,12,Florida,12 Soil remediation,Soil remediation,100166.21
2018,12,Florida,13 Other 2 - improvement,Other 2 - improvement,1088537.26
2018,12,Florida,4 Conservating planning assessment,Conservating planning assessment,8691.21
2018,12,Florida,6 Other 1 - planning,Other 1 - planning,20950.59
2018,12,Florida,7 Structural,Structural,4030543.61
2018,12,Florida,8 Land management,Land management,4758088.31
2018,12,Florida,9 Vegetative,Vegetative,1201597.32
2019,12,Florida,10 Forest management,Forest management,2091713.85
2019,12,Florida,12 Soil remediation,Soil remediation,278760.68
2019,12,Florida,13 Other 2 - improvement,Other 2 - improvement,678125.44
2019,12,Florida,4 Conservating planning assessment,Conservating planning assessment,25614.85
2019,12,Florida,6 Other 1 - planning,Other 1 - planning,36784.06
2019,12,Florida,7 Structural,Structural,5954959.16
2019,12,Florida,8 Land management,Land management,5126851.90
2019,12,Florida,9 Vegetative,Vegetative,1079664.09
2020,12,Florida,10 Forest management,Forest management,2222724.70
2020,12,Florida,12 Soil remediation,Soil remediation,238395.54
2020,12,Florida,13 Other 2 - improvement,Other 2 - improvement,305130.80
2020,12,Florida,4 Conservating planning assessment,Conservating planning assessment,18651.46
2020,12,Florida,6 Other 1 - planning,Other 1 - planning,63330.20
2020,12,Florida,7 Structural,Structural,5895449.72
2020,12,Florida,8 Land management,Land management,5163021.98
2020,12,Florida,9 Vegetative,Vegetative,1664485.82
2021,12,Florida,10 Forest management,Forest management,3258023.66
2021,12,Florida,12 Soil remediation,Soil remediation,206723.49
2021,12,Florida,13 Other 2 - improvement,Other 2 - improvement,159452.04
2021,12,Florida,4 Conservating planning assessment,Conservating planning assessment,2383.80
2021,12,Florida,6 Other 1 - planning,Other 1 - planning,55306.50
2021,12,Florida,7 Structural,Structural,4711623.52
2021,12,Florida,8 Land management,Land management,8495269.69
2021,12,Florida,9 Vegetative,Vegetative,2542788.62
2022,12,Florida,10 Forest Management,Forest Management,3855434.00
2022,12,Florida,12 Soil Remediation,Soil Remediation,170497.00
2022,12,Florida,13 Other 2 - improvement,Other 2 - improvement,112851.00
2022,12,Florida,6 Other 1 - planning,Other 1 - planning,44305.00
2022,12,Florida,7 Structural,Structural,4558053.00
2022,12,Florida,8 Land Management,Land Management,7588769.00
2022,12,Florida,9 Vegetative,Vegetative,1454388.00
2017,13,Georgia,10 Forest management,Forest management,5313583.15
2017,13,Georgia,12 Soil remediation,Soil remediation,63728.55
2017,13,Georgia,13 Other 2 - improvement,Other 2 - improvement,647037.28
2017,13,Georgia,4 Conservating planning assessment,Conservating planning assessment,132.50
2017,13,Georgia,6 Other 1 - planning,Other 1 - planning,126138.21
2017,13,Georgia,7 Structural,Structural,9474504.61
2017,13,Georgia,8 Land management,Land management,4602789.26
2017,13,Georgia,9 Vegetative,Vegetative,1491132.34
2018,13,Georgia,10 Forest management,Forest management,7008162.64
2018,13,Georgia,12 Soil remediation,Soil remediation,156758.09
2018,13,Georgia,13 Other 2 - improvement,Other 2 - improvement,1202254.12
2018,13,Georgia,6 Other 1 - planning,Other 1 - planning,143222.97
2018,13,Georgia,7 Structural,Structural,11484036.10
2018,13,Georgia,8 Land management,Land management,5874731.55
2018,13,Georgia,9 Vegetative,Vegetative,2979434.92
2019,13,Georgia,10 Forest management,Forest management,7625196.74
2019,13,Georgia,12 Soil remediation,Soil remediation,143130.26
2019,13,Georgia,13 Other 2 - improvement,Other 2 - improvement,2917259.25
2019,13,Georgia,4 Conservating planning assessment,Conservating planning assessment,2897.21
2019,13,Georgia,6 Other 1 - planning,Other 1 - planning,206780.65
2019,13,Georgia,7 Structural,Structural,15137336.58
2019,13,Georgia,8 Land management,Land management,5533168.84
2019,13,Georgia,9 Vegetative,Vegetative,2514778.65
2020,13,Georgia,10 Forest management,Forest management,12255448.60
2020,13,Georgia,12 Soil remediation,Soil remediation,189495.49
2020,13,Georgia,13 Other 2 - improvement,Other 2 - improvement,1085615.53
2020,13,Georgia,6 Other 1 - planning,Other 1 - planning,218480.78
2020,13,Georgia,7 Structural,Structural,15217735.51
2020,13,Georgia,8 Land management,Land management,5090998.00
2020,13,Georgia,9 Vegetative,Vegetative,2579098.47
2021,13,Georgia,10 Forest management,Forest management,11251791.89
2021,13,Georgia,12 Soil remediation,Soil remediation,216452.56
2021,13,Georgia,13 Other 2 - improvement,Other 2 - improvement,1072617.62
2021,13,Georgia,2 Resource-conserving crop rotatation,Resource-conserving crop rotatation,817.28
2021,13,Georgia,4 Conservating planning assessment,Conservating planning assessment,3060.90
2021,13,Georgia,6 Other 1 - planning,Other 1 - planning,205548.30
2021,13,Georgia,7 Structural,Structural,19482609.19
2021,13,Georgia,8 Land management,Land management,4929898.30
2021,13,Georgia,9 Vegetative,Vegetative,2105106.34
2022,13,Georgia,10 Forest Management,Forest Management,9740246.00
2022,13,Georgia,12 Soil Remediation,Soil Remediation,188290.00
2022,13,Georgia,13 Other 2 - improvement,Other 2 - improvement,1831448.00
2022,13,Georgia,6 Other 1 - planning,Other 1 - planning,74841.00
2022,13,Georgia,7 Structural,Structural,23498601.00
2022,13,Georgia,8 Land Management,Land Management,4924695.00
2022,13,Georgia,9 Vegetative,Vegetative,2290454.00
2017,15,Hawaii,10 Forest management,Forest management,392964.06
2017,15,Hawaii,12 Soil remediation,Soil remediation,2810.95
2017,15,Hawaii,13 Other 2 - improvement,Other 2 - improvement,3074.20
2017,15,Hawaii,6 Other 1 - planning,Other 1 - planning,8987.18
2017,15,Hawaii,7 Structural,Structural,1182949.89
2017,15,Hawaii,8 Land management,Land management,2636898.93
2017,15,Hawaii,9 Vegetative,Vegetative,243576.61
2018,15,Hawaii,10 Forest management,Forest management,395765.48
2018,15,Hawaii,12 Soil remediation,Soil remediation,737.47
2018,15,Hawaii,13 Other 2 - improvement,Other 2 - improvement,6122.13
2018,15,Hawaii,6 Other 1 - planning,Other 1 - planning,21332.15
2018,15,Hawaii,7 Structural,Structural,987016.39
2018,15,Hawaii,8 Land management,Land management,2560446.70
2018,15,Hawaii,9 Vegetative,Vegetative,171895.72
2019,15,Hawaii,10 Forest management,Forest management,655120.18
