year,state,program,Number of Contracts,Number of Acres,Total Financial Assistance Payments ($1000),Total Reimbursable Payments,Total Techinical Assistance Payments,Total Payments
2017,Illinois,ACEP,0,0,13988.23611,0,1444.89909,15433.1352
2017,Indiana,ACEP,0,0,12644.17227,0,1495.45156,14139.62383
2017,Iowa,ACEP,163,7759,15488.96907,0,2750.56607,18239.53514
2017,Kansas,ACEP,0,0,5690.51901,0,794.64845,6485.16746
2017,Kentucky,ACEP,0,0,15013.5567,0,2805.57566,17819.13236
2017,Louisiana,ACEP,27,3542,19746.1154,0,4397.22537,24143.34077
2017,Maine,ACEP,0,0,378.29,0,197.38547,575.67547
2017,Maryland,ACEP,0,0,1390.83405,0,455.74,1846.57405
2017,Massachusetts,ACEP,2,93,4206.639,0,804.63069,5011.26969
2017,Michigan,ACEP,0,0,2867.57663,0,844.39832,3711.97495
2017,Minnesota,ACEP,3,845,494.30001,0,1137.80954,1632.10955
2017,Mississippi,ACEP,0,0,19210.03722,0,1856.26895,21066.30617
2017,Missouri,ACEP,47,1744,18646.38819,0,2658.13239,21304.52058
2017,Montana,ACEP,0,0,29465.79728,0,2205.64124,31671.43852
2017,Nebraska,ACEP,55,8655,4648.38645,0,1404.74834,6053.13479
2017,Nevada,ACEP,2,51,86.9323,0,651.32453,738.25683
2017,New Hampshire,ACEP,0,0,6852.58781,0,1125.43696,7978.02477
2017,New Jersey,ACEP,0,0,3169.802,0,692.12033,3861.92233
2017,New Mexico,ACEP,0,0,1085,0,310.15774,1395.15774
2017,New York,ACEP,5,444,2770.07745,0,974.71915,3744.7966
2017,North Carolina,ACEP,0,0,4898.72834,0,1658.55772,6557.28606
2017,North Dakota,ACEP,8,1128,4748.60542,0,1289.40406,6038.00948
2017,Ohio,ACEP,0,0,12279.96599,0,1870.14863,14150.11462
2017,Oklahoma,ACEP,16,4950,2879.26575,0,874.95086,3754.21661
2017,Oregon,ACEP,0,0,1470.24,0,1028.9239,2499.1639
2017,Pennsylvania,ACEP,11,59,2933.62587,0,966.00242,3899.62829
2017,Rhode Island,ACEP,0,0,794.32887,0,342.73571,1137.06458
2017,South Carolina,ACEP,0,0,1431.4958,0,775.20368,2206.69948
2017,South Dakota,ACEP,23,2658,6019.16753,0,2904.3098,8923.47733
2017,Tennessee,ACEP,0,0,10030.1987,0,2617.76506,12647.96376
2017,Texas,ACEP,0,0,9449.34348,0,2979.79701,12429.14049
2017,Utah,ACEP,0,0,10579.743,0,302.60003,10882.34303
2017,Vermont,ACEP,2,121,5494.88728,0,642.34406,6137.23134
2017,Virginia,ACEP,0,0,343.8751,0,503.81613,847.69123
2017,Washington,ACEP,0,0,9420.993,0,726.35774,10147.35074
2017,West Virginia,ACEP,0,0,1030.733,0,522.31728,1553.05028
2017,Wisconsin,ACEP,11,262,5712.74041,1.395,1421.25402,7135.38943
2017,Wyoming,ACEP,0,0,3658.757,0,445.94368,4104.70068
2018,Alabama,ACEP,2,52,974.8,0,319.2,1294
2018,Alaska,ACEP,0,0,0,0,0,0
2018,Arizona,ACEP,0,0,3478.3,0,528.8,4007.1
2018,Arkansas,ACEP,3,393,17178,24.5,2143.2,19345.7
2018,California,ACEP,0,0,6537.6,0,2154.3,8691.9
2018,Colorado,ACEP,0,0,4502.5,0,1274.1,5776.6
2018,Connecticut,ACEP,0,0,1993.7,0,604.8,2598.5
2018,Delaware,ACEP,0,0,1862,0,502.5,2364.5
2018,Florida,ACEP,0,0,20457,0,4221.6,24678.6
2018,Georgia,ACEP,1,33,2469.5,0,953.1,3422.6
2018,Hawaii/Pacific,ACEP,0,0,0,0,0,0
2018,Idaho,ACEP,0,0,3485.7,0,442.5,3928.2
2018,Illinois,ACEP,0,0,2340.9,0,1087.6,3428.5
2018,Indiana,ACEP,3,70,9357.7,0,1170.3,10528
2018,Iowa,ACEP,83,12619,12643.7,0,2123.2,14766.9
2018,Kansas,ACEP,13,172,3882.6,2.3,804.1,4689
2018,Kentucky,ACEP,0,0,16198.5,0,1908,18106.5
2018,Louisiana,ACEP,0,0,19363.6,0,2604.5,21968.1
2018,Maine,ACEP,0,0,415.3,0,199.3,614.6
2018,Maryland,ACEP,0,0,1160.1,0,494.4,1654.5
2018,Massachusetts,ACEP,1,37,2923.8,0,593.5,3517.3
2018,Michigan,ACEP,0,0,1784.3,0,643.9,2428.2
2018,Minnesota,ACEP,6,506,1945.6,0,457.3,2402.9
2018,Mississippi,ACEP,0,0,18326.3,0,2699.4,21025.7
2018,Missouri,ACEP,56,437,6008.5,0,1306.3,7314.8
2018,Montana,ACEP,0,0,6644.7,0,1417.5,8062.2
2018,Nebraska,ACEP,47,7303,4743.2,0,1605.9,6349.1
2018,Nevada,ACEP,6,157,1476.3,0,504.8,1981.1
2018,New Hampshire,ACEP,1,60,4545.6,0,621.3,5166.9
2018,New Jersey,ACEP,1,133,4743.3,0,611.2,5354.5
2018,New Mexico,ACEP,0,0,412,0,279.7,691.7
2018,New York,ACEP,0,0,1706.7,0,562.9,2269.6
2018,North Carolina,ACEP,0,0,5144.2,0,605.9,5750.1
2018,North Dakota,ACEP,2,140,2090.6,6.4,794.2,2891.2
2018,Ohio,ACEP,0,0,7134.2,0,974.8,8109
2018,Oklahoma,ACEP,0,0,2110.7,0,499.4,2610.1
2018,Oregon,ACEP,0,0,6150,0,2059.5,8209.5
2018,Pennsylvania,ACEP,16,228,1748.7,0,566.6,2315.3
2018,Rhode Island,ACEP,0,0,861.2,0,170.5,1031.7
2018,South Carolina,ACEP,0,0,1927.4,0,483,2410.4
2018,South Dakota,ACEP,2,192,5390,76.7,1212,6678.7
2018,Tennessee,ACEP,0,0,9828.9,0,2826.7,12655.6
2018,Texas,ACEP,2,2728,3196,0,1346.3,4542.3
2018,Utah,ACEP,0,0,873,0,442.8,1315.8
2018,Vermont,ACEP,7,827,4446.9,0,798.4,5245.3
2018,Virginia,ACEP,0,0,859.1,0,317,1176.1
2018,Washington,ACEP,0,0,1413.3,0,592.2,2005.5
2018,West Virginia,ACEP,0,0,2082.6,0,466,2548.6
2018,Wisconsin,ACEP,3,301,2356.3,0,596.1,2952.4
2018,Wyoming,ACEP,0,0,4461.4,0,949.9,5411.3
2019,Alabama,ACEP,0,0,950.2,0,408.7,1358.9
2019,Alaska,ACEP,0,0,0,0,0,0
2019,Arizona,ACEP,0,0,14131.5,0,649.3,14780.8
2019,Arkansas,ACEP,77,8024,13655.5,16.4,3953.9,17625.8
2019,California,ACEP,0,0,13670.9,0,2233.9,15904.8
2019,Colorado,ACEP,0,0,14831.7,0,1074.3,15906
2019,Connecticut,ACEP,0,0,3663.8,0,1108.5,4772.3
2019,Delaware,ACEP,1,44,1960.4,0,431.5,2391.9
2019,Florida,ACEP,0,0,24604.8,0,5053.8,29658.6
2019,Georgia,ACEP,0,0,2381.8,0,1257.6,3639.4
2019,Hawaii/Pacific,ACEP,0,0,0,0,0,0
2019,Idaho,ACEP,0,0,3356.8,0,434.1,3790.9
2019,Illinois,ACEP,1,42,6095,0,1454.9,7549.9
2019,Indiana,ACEP,7,452,10773.9,0,2052.8,12826.7
2019,Iowa,ACEP,52,5151,13682.2,0,1787.5,15469.7
2019,Kansas,ACEP,17,1256,4044.8,51.5,898.6,4994.9
2019,Kentucky,ACEP,12,99,9822.1,0,2475.5,12297.6
2019,Louisiana,ACEP,0,0,19978.4,0,3903.3,23881.7
2019,Maine,ACEP,0,0,902.1,0,308.7,1210.8
2019,Maryland,ACEP,12,701,933.2,0,652.4,1585.6
2019,Massachusetts,ACEP,4,178,3605.6,0,915.1,4520.7
2019,Michigan,ACEP,1,19,5313.1,0,796.8,6109.9
2019,Minnesota,ACEP,19,1192,1390.3,0,595.2,1985.5
2019,Mississippi,ACEP,0,0,20646.5,0,2713.1,23359.6
2019,Missouri,ACEP,1,3,12893.2,0,2008.7,14901.9
2019,Montana,ACEP,0,0,19333.6,0,3383.5,22717.1
2019,Nebraska,ACEP,6,705,4276.1,0,1215.9,5492
2019,Nevada,ACEP,0,0,2,0,210.5,212.5
2019,New Hampshire,ACEP,0,0,4304.9,0,947,5251.9
2019,New Jersey,ACEP,3,285,1479,0,664.9,2143.9
2019,New Mexico,ACEP,0,0,232.8,0,332,564.8
2019,New York,ACEP,0,0,2485.4,0,705.4,3190.8
2019,North Carolina,ACEP,0,0,4918.4,0,1054.2,5972.6
2019,North Dakota,ACEP,18,3856,329.8,0,814.4,1144.2
2019,Ohio,ACEP,0,0,8600.1,0,1377.8,9977.9
2019,Oklahoma,ACEP,0,0,679,0,602.5,1281.5
2019,Oregon,ACEP,0,0,3145.7,0,889.3,4035
2019,Pennsylvania,ACEP,68,966,2790.2,0,690.1,3480.3
2019,Rhode Island,ACEP,0,0,801.8,0,266,1067.8
2019,South Carolina,ACEP,1,14,762.4,0,437.9,1200.3
2019,South Dakota,ACEP,0,0,6763.4,13.2,1821,8597.6
2019,Tennessee,ACEP,0,0,11208.9,0,1703,12911.9
2019,Texas,ACEP,1,1103,8327.3,0,1986.7,10314
2019,Utah,ACEP,0,0,4237.5,0,847.2,5084.7
2019,Vermont,ACEP,8,587,4520.1,0,652.5,5172.6
2019,Virginia,ACEP,0,0,1657,0,419.6,2076.6
2019,Washington,ACEP,0,0,3580.7,0,620.4,4201.1
2019,West Virginia,ACEP,0,0,1765.5,0,585.9,2351.4
2019,Wisconsin,ACEP,0,0,4177.8,0,883.8,5061.6
2019,Wyoming,ACEP,0,0,5701.2,0,786,6487.2
2020,Alabama,ACEP,0,0,2506.8,0,722.2,3229
2020,Alaska,ACEP,0,0,0,0,0,0
2020,Arizona,ACEP,0,0,1357.8,0,766.7,2124.5
2020,Arkansas,ACEP,0,0,31464.1,0,2596.6,34060.7
2020,California,ACEP,0,0,24703.8,0,3825.3,28529.1
2020,Colorado,ACEP,14,168,12443.4,0,823.2,13266.6
2020,Connecticut,ACEP,0,0,3335.7,0,520.4,3856.1
2020,Delaware,ACEP,0,0,5464.7,0,564.9,6029.6
2020,Florida,ACEP,0,0,29622.2,0,7750.2,37372.4
2020,Georgia,ACEP,0,0,4795.3,0,1678.5,6473.8
2020,Hawaii/Pacific,ACEP,0,0,0,0,0,0
2020,Idaho,ACEP,0,0,6319.4,0,1292.8,7612.2
2020,Illinois,ACEP,0,0,8022.2,0,1242.6,9264.8
2020,Indiana,ACEP,6,47,9716.4,0,1974.5,11690.9
2020,Iowa,ACEP,21,1472,12338,0,1784.3,14122.3
2020,Kansas,ACEP,7,1050,3846.2,6.4,877.8,4730.4
2020,Kentucky,ACEP,0,0,21280.3,0,2424.1,23704.4
2020,Louisiana,ACEP,2,104,26490.1,7.1,3156.5,29653.7
2020,Maine,ACEP,1,9,2,0,211.8,213.8
2020,Maryland,ACEP,4,199,673.1,0,460.5,1133.6
2020,Massachusetts,ACEP,30,675,3567.7,0,541.2,4108.9
2020,Michigan,ACEP,0,0,5194.6,0,896.3,6090.9
2020,Minnesota,ACEP,1,67,1702.9,0,974.6,2677.5
2020,Mississippi,ACEP,0,0,15863.2,0,2830.7,18693.9
2020,Missouri,ACEP,0,0,10211.3,0,1918,12129.3
2020,Montana,ACEP,0,0,22006.2,114.7,2272.1,24393
2020,Nebraska,ACEP,4,1748,7787.9,0,1232.3,9020.2
2020,Nevada,ACEP,0,0,1,0,198,199
2020,New Hampshire,ACEP,0,0,3754.6,0,741.3,4495.9
2020,New Jersey,ACEP,2,190,1416.7,0,566.6,1983.3
2020,New Mexico,ACEP,0,0,4888.2,0,510.2,5398.4
2020,New York,ACEP,0,0,1350.2,0,570.6,1920.8
2020,North Carolina,ACEP,5,695,8215.5,0,1438.4,9653.9
2020,North Dakota,ACEP,0,0,2477.8,0,899.4,3377.2
2020,Ohio,ACEP,0,0,4933.8,7.5,1154.7,6096
2020,Oklahoma,ACEP,0,0,2256.4,0,825.8,3082.2
2020,Oregon,ACEP,0,0,3549.5,0,1279,4828.5
2020,Pennsylvania,ACEP,0,0,1486.9,0,519.4,2006.3
2020,Rhode Island,ACEP,0,0,2094.2,0,222,2316.2
2020,South Carolina,ACEP,0,0,1853.6,0,378.5,2232.1
2020,South Dakota,ACEP,0,0,6192.9,55,1644.7,7892.6
2020,Tennessee,ACEP,0,0,5557.8,0,1021.2,6579
2020,Texas,ACEP,18,392,19310,0,1906.2,21216.2
2020,Utah,ACEP,0,0,6968.7,0,873.1,7841.8
2020,Vermont,ACEP,102,8481,5708,0,659.2,6367.2
2020,Virginia,ACEP,0,0,2147.4,0,351.3,2498.7
2020,Washington,ACEP,0,0,514.9,0,568.6,1083.5
2020,West Virginia,ACEP,0,0,2356.3,0,462.2,2818.5
2020,Wisconsin,ACEP,0,0,14377,134.5,1823.8,16335.3
2020,Wyoming,ACEP,0,0,6782.8,0,537.1,7319.9
2021,Alabama,ACEP,0,0,4915.6,9.9,1148.4,6073.9
2021,Alaska,ACEP,0,0,0,0,0,0
2021,Arizona,ACEP,0,0,4642,0,384.5,5026.5
2021,Arkansas,ACEP,0,0,25183.9,3.9,5608,30795.8
2021,California,ACEP,18,6309,19738.3,0,3696.4,23434.7
2021,Colorado,ACEP,1,423,15671.2,0,1204.3,16875.5
2021,Connecticut,ACEP,0,0,2979.1,0,552,3531.1
2021,Delaware,ACEP,0,0,2141.5,3.9,347.4,2492.8
2021,Florida,ACEP,0,0,10652.9,0,3298.4,13951.3
2021,Georgia,ACEP,0,0,9671.7,0,1846.6,11518.3
2021,Hawaii/Pacific,ACEP,0,0,0,0,0,0
2021,Idaho,ACEP,0,0,3678.9,0,679.4,4358.3
2021,Illinois,ACEP,6,339,12052,0,1640.2,13692.2
2021,Indiana,ACEP,3,77,7688.7,0,2144.4,9833.1
2021,Iowa,ACEP,2,491,10123.2,0,2142.8,12266
2021,Kansas,ACEP,2,68,2773.8,0.7,901.9,3676.4
2021,Kentucky,ACEP,0,0,14159.4,0,2503.7,16663.1
2021,Louisiana,ACEP,0,0,27344.1,79,3643.3,31066.4
2021,Maine,ACEP,0,0,173.2,0,290.9,464.1
2021,Maryland,ACEP,2,121,624.3,0,466.4,1090.7
2021,Massachusetts,ACEP,2,112,2347.5,0,640.7,2988.2
2021,Michigan,ACEP,1,19,1873.6,0,647.8,2521.4
2021,Minnesota,ACEP,0,0,1814.6,0,776.6,2591.2
2021,Mississippi,ACEP,0,0,22151.7,0,2437.1,24588.8
2021,Missouri,ACEP,0,0,12507.5,0,2060.3,14567.8
2021,Montana,ACEP,26,617,14043.4,0,1564.4,15607.8
2021,Nebraska,ACEP,16,2331,4481.8,0,1486.3,5968.1
2021,Nevada,ACEP,0,0,0,0,233.2,233.2
2021,New Hampshire,ACEP,3,393,3563.3,0,774.8,4338.1
2021,New Jersey,ACEP,0,0,1850.2,0,516.4,2366.6
2021,New Mexico,ACEP,0,0,1103.3,0,412.7,1516
2021,New York,ACEP,0,0,1828.7,0,1910,3738.7
2021,North Carolina,ACEP,0,0,3877.5,0,1058.7,4936.2
2021,North Dakota,ACEP,3,1434,2527.6,94.4,916.9,3538.9
2021,Ohio,ACEP,0,0,5315.3,64.6,1263,6642.9
2021,Oklahoma,ACEP,0,0,2051.9,0,754.9,2806.8
2021,Oregon,ACEP,2,2340,1623.6,0,1119.1,2742.7
2021,Pennsylvania,ACEP,2,28,2498.4,0,602.1,3100.5
2021,Rhode Island,ACEP,0,0,1780.5,0,302.3,2082.8
2021,South Carolina,ACEP,0,0,2485.8,0,462.3,2948.1
2021,South Dakota,ACEP,7,245,4326.7,34.9,1437.1,5798.7
2021,Tennessee,ACEP,0,0,11151.4,0,2429.5,13580.9
2021,Texas,ACEP,0,0,6323.7,0,7363.3,13687
2021,Utah,ACEP,0,0,11893.2,0,875.4,12768.6
2021,Vermont,ACEP,13,1144,4190.9,0,554,4744.9
2021,Virginia,ACEP,0,0,1072.6,0,422.2,1494.8
2021,Washington,ACEP,0,0,1394.6,0,661,2055.6
2021,West Virginia,ACEP,0,0,2576.3,0,582.2,3158.5
2021,Wisconsin,ACEP,0,0,4211.5,0,878.2,5089.7
2021,Wyoming,ACEP,0,0,5379.5,0,721.1,6100.6
2022,Alabama,ACEP,5,89,2201.3,0,868.5,3069.8
2022,Alaska,ACEP,0,0,0,0,0,0
2022,Arizona,ACEP,0,0,7747.3,0,620.9,8368.2
2022,Arkansas,ACEP,0,0,16815.8,0,3431.4,20247.2
2022,California,ACEP,0,0,18010.3,0,4712.4,22722.7
2022,Colorado,ACEP,1,93,7025,0,1188.5,8213.5
2022,Connecticut,ACEP,0,0,4146.7,0,707.7,4854.4
2022,Delaware,ACEP,0,0,132.1,0,243.4,375.5
2022,Florida,ACEP,7,30941,27928.7,0,6483.7,34412.4
2022,Georgia,ACEP,0,0,4765.4,0,1352.4,6117.8
2022,Hawaii/Pacific,ACEP,0,0,0,0,0,0
2022,Idaho,ACEP,0,0,7518.9,0,1238.3,8757.2
2022,Illinois,ACEP,0,0,7726,0,1467.3,9193.3
2022,Indiana,ACEP,27,576,4219.7,0,1603.8,5823.5
2022,Iowa,ACEP,75,6690,4590.6,0,2629,7219.6
2022,Kansas,ACEP,0,0,2014.9,4.3,1370,3389.2
