practice_name,practice_unit,practice_code
591,Amendments for Treatment of Agricultural Waste,au
592,Feed Management,Au.
595,Pest Management Conservation System,Ac.
600,Terrace,Ft.
601,Vegetative Barrier,Ft.
603,Herbaceous Wind Barriers,Ft.
604,Saturated Buffer,Ft.
605,Denitrifying Bioreactor,No.
606,Subsurface Drain,Ft.
607,"Surface Drain, Field Ditch",Ft.
608,"Surface Drain, Main or Lateral",Ft.
609,Surface Roughening,Ac.
610,Saline and Sodic Soil Management,Ac.
612,Tree/Shrub Establishment,Ac.
614,Watering Facility,No.
620,Underground Outlet,Ft.
627,"Wastewater Treatment, Milk House",No.
629,Waste Treatment,No.
630,Vertical Drain,No.
632,Waste Separation Facility,No.
633,Waste Recycling,No.
634,Waste Transfer,No.
635,Vegetated Treatment Area,Ac.
636,Water Harvesting Catchment,No.
638,Water and Sediment Control Basin,No.
640,Waterspreading,Ac.
642,Water Well,No.
643,Restoration of Rare or Declining Natural Communities,Ac.
644,Wetland Wildlife Habitat Management,Ac.
645,Upland Wildlife Habitat Management,Ac.
646,Shallow Water Development and Management,Ac.
647,Early Successional Habitat Development/Management,Ac.
649,Structures for Wildlife,No.
654,Road/Trail/Landing Closure and Treatment,Ft.
655,Forest Trails and Landings,Ac.
656,Constructed Wetland,Ac.
657,Wetland Restoration,Ac.
658,Wetland Creation,Ac.
659,Wetland Enhancement,Ac.
660,Tree/Shrub Pruning,Ac.
666,Forest Stand Improvement,Ac.
670,Energy Efficient Lighting System,No.
672,Energy Efficient Building Envelope,No.
